Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
-531.3364865709857,-2.8338841321306054,-46016.86239648309,26147894179535.92,547.1966424971828,17961.197915520883,1020.4798345034417,-46087.48204596955,-503.8698206183589,558602.4157154814
-526.486438234651,-2.8236027173711213,-45985.91792640905,25932324389982.53,520.146939639339,17970.276418192036,980.1951836619296,-46079.30438320366,-481.1079919740328,599177.4480706162
-504.5033555892387,-2.9064105320876377,-46017.539702206705,26761648155547.113,538.624005735034,17932.68653533561,1057.3325264195337,-46072.902755032774,-518.2177074097447,650704.12133778
-547.5302129730094,-2.9135946791541625,-46026.39342603026,40385381421629.65,548.8976859684379,17920.556304790964,1041.688320036456,-46066.47530004334,-513.8821210013017,916559.5522944737
-526.176723856287,-2.886000278840336,-46006.125078181605,28630335818609.145,536.3877559033107,17926.093776066784,1018.7068078511469,-46059.11657561448,-505.36134532059356,553531.2341695944
-541.2189268060013,-2.945491269745233,-46001.316518710424,29140808237146.05,524.4036972039922,17970.927207892048,968.0453769463268,-46051.23524706793,-476.7703311223321,575062.2699516038
-477.8009145327218,-2.917387427294625,-45943.88451990135,27658288657121.77,490.89521526352297,17997.66319820457,908.8337132665401,-46043.93076933025,-436.5593230164659,439126.3487436293
-454.46695443794187,-2.934729385236973,-45964.8073545978,24733797887974.902,511.6303128451462,17965.82731950598,969.1020983417626,-46039.436384290435,-470.57189466853885,523877.63663444965
-488.80189457225026,-2.9091037140506115,-45995.7902018721,31442914635337.383,539.0140010674681,17908.93281524192,1024.2005559303236,-46038.299278218765,-504.52534468776946,536299.627840796
-550.6798401710663,-2.9234117183002217,-46019.87967420131,32291430773393.336,548.7379538376006,17937.262973854762,990.8161256966605,-46034.87738034315,-486.570001071368,407698.99660533504
-483.93110180333923,-2.893624749084578,-45967.094428289325,24901955701881.977,507.4140069240168,17940.218555594536,968.4778983655422,-46031.11558493976,-463.5094525979434,363472.7678207265
-515.5333778343738,-2.713656123835479,-45993.89104906974,28426006633845.195,512.6841300200214,17940.677329393613,979.4950590624801,-46024.61386488171,-480.6816938845902,455344.4052743754
-503.1470845874011,-2.6606299544637944,-45963.21729384082,21273772442453.316,482.76858380176424,17968.862710356978,922.1510166475363,-46014.76814229235,-448.6450294354081,341042.15228972596
