Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
616.5033124955146,3.4494300998170067,54987.83689805917,34219796462690.64,641.1059915523102,-21304.34279165983,-1217.5875212674055
587.0297854833165,3.520535434144192,54982.08957020952,34829927701642.914,626.782301738942,-21360.223708134206,-1157.035529660147
525.5400719637476,3.486944917614999,54913.44520214167,33057977885823.246,586.7320054683283,-21332.589481383882,-1086.26405522378
603.444629873211,3.507672521889567,54938.45277275923,29562542850787.99,611.5151873152248,-21276.545324273713,-1158.2985533040678
636.4696980466814,3.4770439865542317,54975.484358220114,37581471130472.445,644.2449549076373,-21286.961185796383,-1224.1538061441138
620.0962602034168,3.494145322575844,55004.27678473176,38595641894060.125,655.867301454316,-21390.45487230977,-1184.2517800225114
573.6953898080013,3.458543084783944,54941.186348667004,29763529880814.242,606.475737852585,-21314.211185579185,-1157.552491634543
599.9796209560945,3.24343943510364,54973.21443645724,33975576375445.137,612.7747397516436,-21351.813177571912,-1170.720517293158
541.4597733978296,3.180061040427192,54936.55228665192,25427021449326.62,577.0188230477173,-21382.006141196656,-1102.181277223932
545.0383403889381,3.1819249269916505,54917.951573309365,25959566923684.51,564.6638037747359,-21383.774593136084,-1056.7067233447488
512.600898056868,3.1974238706666385,54884.523845065676,36233391760378.62,553.286921187123,-21374.854455176355,-1026.3569643817036
543.7443238208932,3.207658389609581,54906.92429090588,27142050377130.508,556.662670482761,-21371.497294781213,-1069.4772957443915
571.0590077102769,3.1610346266012037,54923.31582861683,27756487771318.777,573.2228097009514,-21386.702433761806,-1082.5649877436754
530.0841305271817,3.143121203638556,54902.177414646976,21615839933044.04,546.4412041065086,-21393.197682369242,-1057.9878468563584
511.055218944932,3.1251447368369014,54890.93690092551,34358842288451.254,540.3603923932862,-21416.76749180747,-1019.8697734473608
484.51337461151616,3.111657693391467,54868.85258291137,18617920450253.484,513.4684519889603,-21430.420778800555,-975.3569919896083
475.4507956541263,3.1238047017957795,54849.26133571381,24431210114605.52,503.9561037166759,-21412.78091030957,-955.136960347407
479.1964764921139,3.140462257704156,54844.20824936455,24294119654621.793,499.8303256572256,-21409.355774930147,-955.2626676476558
502.92689069235036,3.0178031038672466,54859.87207321706,26955255926911.773,513.3866306692717,-21417.182345233603,-973.0610361704673
491.700261800893,3.040516221523223,54858.157544654496,26113395988296.77,509.23233911962683,-21427.278697870894,-970.4008515070152
497.6149514408081,3.089452527727369,54859.61793123924,31974203761939.44,515.7941610152611,-21428.678928710902,-978.4838061186788
516.1100408979376,2.9682628933501927,54871.48202259409,29080175166452.94,528.7405252805374,-21417.771348281432,-1012.2621263200704
572.9761060249206,3.022549329699858,54908.24582919055,34825841186625.945,566.2791549801036,-21408.899574931667,-1076.8689841763826
534.9502675581176,2.9886565216668894,54909.23264389467,25363272212487.875,554.94194333537,-21451.918422009814,-1066.5049503491578
561.7737755859765,2.92473208915856,54907.65076504736,37379927284342.27,572.5174107478783,-21420.725858491096,-1087.1137572315765
603.3928097040748,2.913775327377302,54937.004783344135,40985803098844.836,609.8403296955381,-21423.13653538198,-1139.7563546022686
592.2308940381895,2.9064818043109213,54951.97312597929,30025487790314.887,601.7412587633298,-21435.04808708956,-1162.0779544435031
590.9594403189069,2.8910832809031066,54953.119864171895,36279778426131.31,609.255183288068,-21445.291026602354,-1161.995389293635
