Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
545.3192232972183,-2.21541262679155,-47390.24962518367,-26857535555002.668,-577.6301150510923,-16606.49910272274,-1151.0791267128216,-48446.02693874217,551.0261746783691
583.4236579777787,-2.2422823331651602,-47366.83710806118,-28195776494012.28,-582.5402492808995,-16610.36262059818,-1108.4264492364478,-48451.74996203897,539.2083967024201
545.7530556869726,-2.189916859058628,-47396.895963634575,-34587254871549.816,-558.2804032721724,-16650.878056373862,-1109.502283590073,-48457.53792899492,538.405894247582
553.947327347084,-2.1260485386311894,-47399.47949674191,-42744663745755.03,-555.652043733438,-16660.459450742805,-1093.7093851436869,-48462.74840031512,531.0904393084503
545.441457322356,-2.0785316757570085,-47408.648141954814,-24105566984803.902,-551.5280120445417,-16679.78151311243,-1088.2403418472402,-48467.56445370536,516.2168107040642
540.3546413531727,-2.025930000795934,-47401.80609786438,-31404234354019.11,-555.6170572503933,-16662.73594719154,-1095.2940541600938,-48471.57046068036,530.5055090450463
535.6093809247135,-1.9088302976359957,-47406.54239300656,-22333562293556.31,-553.3221626281787,-16654.22641883709,-1105.6349652205174,-48474.6438592167,525.980226128731
538.6112211699506,-1.812238954497792,-47393.99099221427,-27809613406989.895,-571.1237225323697,-16604.871967050847,-1132.1070502852658,-48478.677636712615,544.5022889181242
553.9525753195409,-1.724846467524208,-47396.26292695698,-29108601119917.98,-558.387549376497,-16619.129814499385,-1109.4305612998312,-48481.33327477485,539.7058607582122
544.4299106313254,-1.6729821312682134,-47391.03572772458,-33274311121320.73,-570.9028703581499,-16587.479934551407,-1138.6823224424825,-48483.765764674914,547.1175285257168
553.4216554393371,-1.7165345070166023,-47382.26177377352,-27705985297031.895,-582.559929177612,-16539.562300103138,-1162.9638163375935,-48486.428782698415,558.4739222565136
582.2345548852961,-2.112994257693329,-47422.16385768603,-34354734650132.35,-527.7448568672991,-16698.287918554524,-1031.3901495513198,-48485.94788255569,506.52227491789165
512.3925694417572,-2.093991874528926,-47438.54737169931,-31277563733398.125,-515.1038032122041,-16785.728630116366,-1023.0296920967462,-48485.00270084968,497.76144089797504
508.31992414983296,-2.085611765633529,-47436.46786261334,-28109620145901.484,-515.2054826785528,-16792.133632653437,-1020.5554917489274,-48484.01914334509,501.58152751542025
507.8832491083312,-2.0398834734791276,-47437.72081603738,-27176325235191.953,-514.3701803958601,-16802.500318777395,-1014.3819081501676,-48483.25124470864,497.6007217414883
501.712945492357,-2.0796479753523087,-47443.392999601005,-38095384260770.11,-512.0588858597184,-16817.13131594463,-1009.5970692627643,-48482.466180828946,492.49816185493523
501.549383684123,-2.134166941532642,-47445.00675113144,-32650600819161.145,-510.7545460387075,-16821.713872641365,-1011.2278767036862,-48481.71960208059,486.4345670122473
508.1250931723778,-2.165489575330185,-47438.34947940459,-41002076039384.914,-516.0528115647921,-16823.538528266712,-1000.4417626465186,-48479.798461496786,485.0187077765313
494.4445036398167,-2.1712083744978408,-47455.92472049659,-52295969647004.82,-498.87226173464484,-16872.784538976335,-981.8768414153956,-48476.9193472741,478.4499955848854
487.5908702768753,-2.1872550545581517,-47459.89021968418,-31820673148066.785,-493.6898889336458,-16896.477629195324,-972.6782390263819,-48473.33006211199,472.8969847291315
488.3457036485651,-2.1424283222863933,-47463.91147857914,-35509291704220.87,-487.07853696578917,-16924.928090844358,-955.3627725709935,-48468.83484570454,466.26923284734755
468.7972249128475,-2.1059996242536414,-47480.58253774994,-27400876917323.504,-478.6653811211294,-16958.69187186216,-950.7935378853531,-48464.83966267273,456.8130424769172
466.368725658506,-2.121525733326146,-47481.731625052445,-26792946251528.312,-471.8386436170287,-16984.820159207393,-937.349107113344,-48460.55671581788,455.83888758964076
468.9752186453375,-2.1184015446009576,-47477.90497846943,-34840086686713.098,-475.65545025168853,-16996.214772942716,-928.3488343500901,-48456.44569472737,453.4193536215795
471.6965110296595,-2.306756888584704,-47495.77651133971,-31025462066258.69,-453.94961750522594,-17085.242058695527,-868.4793085674102,-48450.985507384445,422.91114040658465
416.1965783137461,-2.3463964185952486,-47529.20500256134,-38768393185682.06,-458.2627948680827,-17095.685244147793,-923.8961483860925,-48446.30125463579,405.45288536727
462.33937613934955,-2.4083431209663533,-47488.18444451901,-25550043944383.89,-462.3485600911487,-17093.38673185041,-875.439869369157,-48440.50623571686,425.66851260154647
428.8096427824052,-2.4250886482749916,-47519.18137516903,-33984698922547.03,-443.9391100440558,-17137.70682562704,-883.7399751404785,-48434.687764921,412.6557275641015
438.5301997653422,-2.439789201527401,-47505.42840734967,-38832319237475.0,-450.9648331704734,-17116.69290995207,-888.9969128834665,-48429.02378131434,429.09718793992903
435.5447594340326,-2.4380078195182304,-47510.77805927273,-19443240437026.836,-443.3246599355829,-17139.354507073687,-880.140522031734,-48422.68997055651,425.7209923261137
437.6498523857296,-2.381056147098064,-47508.87238927439,-19990747472093.98,-443.15738081352544,-17153.879736144587,-872.1883131011884,-48415.50915891072,425.1360620627097
429.89509841886763,-2.173069535128583,-47521.846907846,-16681567180609.828,-432.4810368469104,-17187.189090361724,-860.4348227878342,-48411.2412453103,415.68861831304054
429.30338952437376,-2.204993907084712,-47520.2244096948,-19952693081706.477,-431.66541446093044,-17204.224884412095,-849.5968850026566,-48406.863561619335,411.6968792631572
423.38323926216947,-2.227034024312755,-47526.21256493343,-30876529544697.203,-428.9091355935636,-17234.240707978428,-837.4082503064335,-48402.2162633434,404.65475622281235
413.66683692409373,-2.2259871510829776,-47533.07647557576,-22681448553631.78,-419.78313015686774,-17257.897100033028,-832.6194754396876,-48397.73241754294,403.13940417593795
397.3145920800304,-2.23726606622329,-47530.992593179406,-35556339398887.99,-445.93880621558054,-17188.10506201968,-903.3057284521993,-48394.90266706118,411.7089058667038
440.7153242970041,-2.1995208069427488,-47496.10232296306,-27035762289683.62,-459.62070774125584,-17122.3255247123,-907.8288247133244,-48392.132229601455,441.15331133162005
449.4735343306923,-2.188690157811713,-47500.1498217203,-33101719257067.758,-456.1067528504519,-17143.38925286807,-888.3100844881948,-48389.26530598146,430.2626751563562
