Feature_1,Feature_2,Feature_3
3621.9454114778896,-5.591374406326605,-81835.91202758215
3437.833182815074,-5.534286482847437,-81893.9027703477
3187.3184006769525,-5.5412945300452385,-82001.19785882218
3074.7679188927814,-5.4626355662012935,-82004.11036779823
2987.262363124076,-5.349763406290123,-82008.37497782036
2769.0866565943534,-5.219807278066042,-82141.08161242589
2890.2144583759873,-5.173940881746278,-82073.31748940976
2757.208619337302,-5.155169672456825,-82129.81410370841
2860.1921340558165,-5.306355365983306,-82072.08090399926
2924.2165803971047,-5.319471763999206,-82055.91628981232
2852.110584441922,-5.269091512290172,-82092.92106087922
2781.8157221568886,-5.377706704579994,-82101.70024918411
2570.191456494217,-5.32639634303743,-82206.55625341857
2645.296692837085,-5.358058281558529,-82168.35655831793
2811.3763626744844,-5.3112724210252615,-82111.78987715836
2880.23617989967,-5.337395143293233,-82067.80871918134
2673.7612604058295,-5.2830118267628325,-82164.18095214617
2746.7705507573537,-4.954435574455748,-82115.25723992502
2616.0897952822493,-4.857623477445878,-82171.25959879925
2503.7415605453098,-4.860470611202025,-82199.67265775672
2400.7864513109566,-4.884145638729521,-82250.73435608577
2473.283685467993,-4.899779124648686,-82216.51710986461
2530.2518308037293,-4.828560150258829,-82191.47862242555
2459.7763096394274,-4.801196944698131,-82223.76808312161
2405.087420352825,-4.77373743808265,-82240.93825144788
2316.8039330578777,-4.753135638919364,-82274.6726044383
2227.1596337016913,-4.771690500746039,-82304.59872885211
2221.2918181534646,-4.797135337693738,-82312.31744574831
2265.49416016715,-4.60977038531478,-82288.39055958945
2256.484319330851,-4.644465245623764,-82291.00954522916
2272.7833861428276,-4.719216688094442,-82288.778767873
2325.5774402659513,-4.534096463768631,-82270.65606897784
2468.385443779152,-4.617020365029212,-82214.49842679017
2497.0617268898473,-4.565248245587317,-82212.99104243067
2499.634885015107,-4.467602062011812,-82215.40740228335
2640.642359572246,-4.45086533193374,-82170.56839868466
2681.1606996600544,-4.439724291422209,-82147.70387763344
2707.707328938201,-4.416202658386589,-82145.95220611015
2727.6256331721656,-4.296996081685101,-82134.89111057758
2747.0939945370083,-4.177166846992645,-82124.18603044651
2720.612887242328,-4.227259328468757,-82134.45177242254
2662.4623162858875,-4.165029537078869,-82156.97164026593
2681.5367882703554,-4.106961795850012,-82154.23713899063
2699.286428473522,-4.044531707540794,-82152.13702686162
2774.1310918416802,-3.977317871936164,-82125.41693476019
