Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Close
658.9788706304387,2.586697847035138,39845.25995245053,-27449506912406.926,-707.7705637382306,-16423.006011143894,1362.689204590782,-38573.98464416008,-658.7476303787431,-254341.40532030858,-27449507129239.836,1165.739705882353
725.6437772453337,2.6227358187381755,39868.72603867166,-23932057233904.76,-717.3395471348156,-16436.089322200052,1337.042828207811,-38571.63864636128,-660.7301883102624,-305218.5599289701,-23932057515512.84,1128.2044117647058
699.9330026337763,2.6273656785962762,39849.90046436946,-25718295655193.99,-696.03664802294,-16424.5853428842,1297.6206410568388,-38571.05260502906,-631.9368502528929,-286173.9251095978,-25718295904314.758,1081.4485294117646
642.9278303066975,2.494823244390035,39797.40630942037,-22143924830826.504,-654.2092132124438,-16466.602880856954,1262.5642698578818,-38565.0618681914,-619.1453376128657,-294890.059123661,-22143925065136.773,1074.4147058823528
649.1960990766256,2.517750278471491,39795.129683697065,-15101280223821.158,-647.7083080232628,-16460.49925012819,1228.594291539533,-38560.75853073758,-605.6217096099226,-131867.64300936155,-15101280382916.383,1036.125
618.2716857638178,2.510380394035322,39769.29185783779,-17137483658455.68,-632.249242743863,-16475.38676293925,1199.7400456724715,-38555.39406230989,-579.833622219874,-298737.97808890225,-17137483851137.416,1036.654411764706
618.6517923813221,2.5822224120906987,39783.072904234126,-31391001057599.438,-649.8278648963528,-16425.52327609905,1187.0867536206279,-38551.77903546187,-577.5500156587885,-471004.5440384126,-31391001489695.97,999.6691176470588
591.2605555934795,2.6004584516633487,39766.47334458127,-26379260812478.3,-630.4542948278703,-16463.433281495498,1203.8234867360006,-38547.586213396266,-579.9584046953173,-435760.3627342668,-26379261213971.734,1038.7911764705882
620.0559879021849,2.672608608199626,39797.92376402133,-21896971369548.152,-652.3505651516444,-16455.115642648387,1250.7369854371896,-38542.915203942255,-614.8416511171556,-390249.8955722464,-21896971790493.3,1064.8617647058825
644.6850816986407,2.7376786982696584,39796.371400218435,-23736110914818.164,-646.8348306951593,-16485.959270171752,1239.373228645557,-38539.218632182834,-615.078999601915,-396542.9178431819,-23736111197403.676,1048.0
630.6827427444513,2.7688673906904433,39800.68381276138,-22973900013327.684,-656.5477938711019,-16469.733920128077,1250.3711895371487,-38535.53650203159,-589.6958008035145,-408936.7654374252,-22973900385617.31,1063.6808823529411
