Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
-593.5623003355469,2.31119096213875,35429.856163828656,21832118185103.01,615.8246190582726,-16307.41030302823,1206.0798794393347,35490.27622527087,-586.854306913307,298257.0069239694,-21832118521159.38,21832118499092.277,297672.6015925176
-596.2849895407924,2.343141352487226,35396.58268634486,18623354022943.13,631.6518554229635,-16341.170321009691,1253.0069369293913,35486.76855555022,-604.6376734646677,234208.86001866282,-18623354295107.69,18623354273059.34,233576.12053238103
-617.4933899479262,2.379415947574246,35389.630678324036,25249873913749.004,651.0542267287407,-16376.208094778473,1281.6015950212745,35482.90509809659,-605.9596867668611,233948.3184011161,-25249874187823.71,25249874165728.19,233328.51329391843
-605.0778629576384,2.412566060057125,35368.04501850462,22014290805538.676,659.8564112289539,-16357.609687915683,1306.1817313587019,35480.74709399037,-607.7833748194312,280703.233945884,-22014291139184.902,22014291117162.992,280047.60396382405
-587.7531475300625,2.4168249117022933,35385.36202820803,23657391174195.02,640.2605941394314,-16318.710786337213,1259.0352212658404,35480.20801437061,-581.297356038332,263172.7210252502,-23657391477889.77,23657391455888.195,262543.5693562472
-589.1494889632714,2.294903604951248,35433.64962762111,20369448227418.008,601.7849501641246,-16314.863416885006,1192.5784874853512,35474.697337974605,-569.5308757730918,271217.9060253154,-20369448517369.39,20369448495354.918,270650.2047774239
-575.7050872609304,2.3159934089214036,35435.743818699084,13891157417340.527,595.8049871396316,-16285.807961103941,1172.7694786939082,35470.73884325627,-557.0909473229456,121241.89238107689,-13891157638068.768,13891157616089.473,120675.28085101121
-562.3526726408187,2.3092141012495393,35459.51116167294,15764192155701.533,581.5847153353479,-16267.075262053993,1150.2276669342527,35465.80425000963,-533.3693570863235,274734.63079734443,-15764192407263.99,15764192385271.244,274202.1557858691
-562.5809547192304,2.3752991461892927,35446.83444274061,28875521199127.496,597.7546958894965,-16246.30742796582,1145.696219517008,35462.47890896025,-531.2687445715452,433192.0449463039,-28875521670977.11,28875521648989.305,432649.2221104894
-547.4024440077465,2.392073862814774,35462.10381678289,24265390689389.156,579.9336033969073,-16260.625025958705,1145.9705754044942,35458.62207361333,-533.4841402692097,400816.91900529305,-24265391133031.848,24265391111013.57,400271.9716371117
