Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14
-1414.2700860050763,-2.8463239696994,35181.34126088049,-15982164798267.623,-483.41196300841057,-12565.435818803207,30.412979926950584,-35249.648255652224,453.5826521587872,-370241.0524080748,15982164396482.127,-15982164417598.215,370698.0572308213,-367054.67379352084
-1389.5664818101473,-2.8688325945550717,35173.529098568,-13784456116095.656,-483.69583068847834,-12595.568024660142,11.979525491424795,-35243.482448535986,436.1723589417725,-273754.21269286127,13784455806532.72,-13784455827657.84,274195.11935689783,-274769.7810941004
-1598.6039909490307,-2.9065489815683523,38971.07580645768,-21891453959990.99,-557.8900761354547,-13856.425745668554,-6.183447649091704,-39033.5387701175,515.9450554995728,-331639.2003624162,21891453593506.695,-21891453616978.633,332149.71613880416,-327945.0863435608
-1665.5961034075376,-2.9080869188528125,39006.37961251567,-15763333430651.0,-581.3201689598784,-13803.853638246286,48.79188845294436,-39027.41962197861,529.2879709021676,-218015.8846412899,15763333174623.066,-15763333198140.277,218578.6657146704,-217496.58203317248
-1648.3282442152063,-2.9149880988806687,38987.151122314244,-17029246536897.605,-574.4545416401805,-13830.242628362255,-0.8555735781441172,-39023.64155457516,533.7253822265178,-192198.30474200536,17029246306558.111,-17029246330041.234,192725.1194176584,-191812.71837639835
-1688.8443868466056,-2.923849104856803,39005.105894883454,-15288375029090.307,-583.2434562861574,-13798.656922206237,26.237005321572838,-39019.83569856267,541.2072679739159,-208093.3627220546,15288374780426.771,-15288374803925.479,208641.0251805432,-210160.72421012635
-1655.984751127324,-2.9213930371635186,38992.817544044905,-15406205211920.3,-567.3750209259465,-13834.19276908614,18.123783415384423,-39016.751688926124,531.9590084970501,-235064.1310883613,15406204891068.498,-15406204914531.502,235598.53495844125,-282378.5013228618
-1735.4186155265002,-2.909285433549017,40341.83916305848,-17911679201864.82,-601.6459056746269,-14270.144818868454,21.71410918663105,-40350.65238102402,569.8221596551806,-411693.40536930156,17911678802979.492,-17911678827318.645,412281.0098622974,-359046.78614874475
-1651.311706424075,-2.886323709279483,38993.75727240123,-22343522859580.023,-561.8479805466442,-13838.686814400282,32.615762185019435,-39011.71923319107,525.2196133446192,-511851.9255903479,22343522309302.324,-22343522332763.336,512387.0121563919,-511819.58446714055
-1593.3020646013545,-2.8790695031315297,38970.04491042499,-30058133467591.37,-545.5868228882688,-13874.09627439203,28.264960153211064,-39007.142046039844,507.66808242084613,-671805.5747323886,30058132756112.914,-30058132779556.207,672309.9678149907,-673014.4002754115
-1549.6238061799127,-2.8382431693075767,38962.030921028076,-26639998044235.37,-538.3556482508595,-13902.555731010467,49.64044913290695,-39000.75198087808,492.5719424728738,-659597.4561589431,26639997349423.637,-26639997372876.707,660106.3077391601,-656322.962714873
-1445.9503791381103,-2.8466031640338905,38918.01972526547,-13765853354186.352,-480.9734854929297,-13993.003062887488,21.401261380513063,-38993.113356856324,463.0669265987175,-422416.9920033417,13765852893651.51,-13765852917019.22,422867.99512742803,-422128.75983092503
-1382.630044844987,-2.8247868973070047,38889.35976362218,-26168582871457.098,-494.75295380732337,-14029.410556248547,-1.6133172266563065,-38985.38150511937,442.05803687146005,-617822.8667882052,26168582211618.773,-26168582234999.22,618230.157839394,-621313.2972552283
-1424.8997626666728,-2.784981300063552,38920.79244988398,-25777992257510.27,-499.7259752302864,-14034.30236694451,17.62095861577012,-38978.28940501902,445.35409901676957,-493648.50370924483,25777991722039.285,-25777991745438.934,494111.0395523482,-496950.1740490613
