Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12
433.686410535396,-2.5775848362284126,41064.90705185421,-23672863958601.773,-474.82702009624006,-17145.09866399979,-32.15500807103024,-40979.65727026773,-439.18949966698705,546971.6737610948,23672864468548.05,-23672864525426.02
511.4873273252084,-2.653177682991653,41036.04045199963,-24429929355563.41,-491.6941965914502,-17179.41337529053,-7.013124669626279,-40985.50113052431,-473.06588007821546,594008.8758638013,24429929945256.004,-24429930002114.53
488.37397423273774,-2.659735881999603,41027.95814490616,-36866639034802.23,-501.0727406121673,-17190.48671011893,-2.590201415756951,-40991.36856733275,-469.1080492850204,836700.5701475322,36866639807597.54,-36866639864416.76
470.86218261695177,-2.634545756145086,41046.46053043961,-26135800282854.188,-489.6527891296969,-17185.43171357009,-12.335933661737727,-40998.08613293967,-461.32968087207826,505302.57206393534,26135800730560.477,-26135800787416.23
448.3514045284977,-2.688853352289997,41050.850124592056,-26601795593683.812,-478.71289032955895,-17144.504577001644,-1.866997789000493,-41005.280768653094,-435.22977517484776,524957.6287043644,26601796101487.695,-26601796158369.01
401.3878600844021,-2.663198171518715,41103.27812670929,-25248446747166.195,-448.1239712853098,-17120.098068682637,-39.41223053455252,-41011.94881403263,-398.52231484217106,400865.6780029436,25248447164947.49,-25248447221925.54
460.8884490181001,-2.6790291407792646,41084.178279158965,-22578764249567.77,-467.05243908118626,-17149.160116851323,-35.23321570468505,-41016.051607479996,-429.5714027298396,478232.66492863814,22578764613252.082,-22578764670207.094
486.11176147410083,-2.6556362105126308,41055.89493857918,-28703321736626.965,-492.0502119929434,-17201.097455823827,-27.263394328493405,-41017.08963855621,-460.566520197601,489572.33958338265,28703322176341.93,-28703322233219.434
473.60634175686516,-2.6686975716466166,41033.90435959067,-29477907665667.32,-500.9269257934706,-17175.235677607237,7.383342813200329,-41020.21338964947,-444.17560898683524,372176.5618549402,29477907998540.42,-29477908055385.125
438.1670916070606,-2.6415059133814163,41082.090476073085,-22732270762045.098,-463.2034959772776,-17172.537612958193,-35.454589111251835,-41023.647423314724,-423.1243046746086,331803.72329041635,22732271059405.348,-22732271116337.484
