Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
-2225.9214241066265,2.952323896360627,46663.92585815746,-17707820685772.434,759.5053139302198,-19346.586085174826,-24.017013658870837,-46619.31577988352
-2148.3052956262704,2.943681940833756,46633.62832175498,-20095480855846.926,741.3779530755609,-19341.692438713526,-16.49757645810803,-46625.60617669759
-2180.915717921502,3.02792417425987,46649.78803105604,-36809211516232.766,761.9907146705657,-19408.8090337592,-63.49958434945495,-46629.845171422625
-2122.637419244273,3.0493078261119506,46630.32332200557,-30932425158897.117,739.2731900772523,-19374.231418718606,-17.714798656837957,-46634.76169109629
-2217.070982672417,3.133911383934821,46667.20220775425,-25676474898010.016,764.9488429292483,-19395.108410096203,-23.37177129293343,-46640.23893518564
-2220.8294734091146,3.2102128279242237,46665.38189984273,-27833057174924.6,758.4810709738236,-19367.762883046602,-11.575275592933735,-46644.57354979506
-2223.8977001114617,3.2467848115389075,46670.4386517813,-26939285668681.23,769.8705298625802,-19395.497297047776,-18.166447848599432,-46648.89123011784
-2233.971707706769,3.286516329341638,46670.68013163915,-23320022815157.098,768.2292854049786,-19384.605460508974,-13.591018474152861,-46653.20420362984
-2210.991624929028,3.5081711406109566,46656.58016366798,-29849066517824.844,760.2901234682377,-19406.996296456677,-48.65409847815761,-46655.24522003855
-2103.5050519642673,3.564605597736001,46631.23194113172,-19812084583147.91,733.3927462506704,-19404.187255202283,-32.80094581019773,-46655.322933577554
-2060.7790793524196,3.5630902924275474,46607.82681287537,-18466750920865.71,722.0575180079568,-19413.98332468042,-46.35001227514795,-46653.58719477727
-2018.5751534502165,3.5620214784882767,46599.97462461625,-25022311099928.027,709.8443672311895,-19409.473131130966,-45.743038327361205,-46649.17036446201
-1908.4134748059323,3.6355079711704232,46556.71187093055,-26942718862488.023,655.0591360909685,-19353.026005810058,-9.84357851061145,-46644.35591095708
-1865.1220709676072,3.725783296507148,46532.38379847173,-22598529290706.383,652.2667694296249,-19359.5530495328,-29.93859091886668,-46639.059418634206
-1870.9034671236805,3.7653326872733777,46540.53988299265,-21142415760610.918,639.4939174569047,-19349.69136198079,-24.197509620417463,-46630.90154347875
-1838.2236705303035,3.795108799134455,46530.205363652385,-18235120691119.645,639.8694391002588,-19363.843923863944,-29.804549133364162,-46622.74494734797
-2114.754302463242,3.8450028893289585,51553.88745426646,-28959670637187.094,738.0192001826516,-21372.751982228834,-34.81475139538247,-51636.51818826443
-2203.3765371472823,3.847037389122306,51600.58999984821,-20852929466866.707,769.0142995869436,-21377.852007833317,-33.528236756085676,-51628.4233161589
-2180.533306598588,3.856166792175603,51575.1530982681,-22527575165125.36,759.9319283457578,-21353.207868491583,-34.177176356004566,-51623.42540276592
-2234.1311253417402,3.867888801264957,51598.90502980053,-20224618579456.543,771.558569569472,-21345.045746295862,-32.25911685231222,-51618.39072849853
-2190.6619131990433,3.8646397291051717,51582.64906962957,-20380493068840.96,750.5666027400611,-21309.98990181127,-11.565411754672255,-51614.31096722892
-2295.7430386375663,3.848622875036712,53367.2369282094,-23694923412682.066,795.9027218676433,-22055.15820463288,-32.21169120557522,-53378.89571970291
-2184.480056123901,3.8182473689915017,51583.89221339497,-29557701092611.438,743.255015575138,-21299.406242530808,-8.761612318137963,-51607.65365404948
-2107.7405131704763,3.808650956278161,51552.52370700144,-39763171231461.13,721.7435259781007,-21301.266870099094,-23.703922062383185,-51601.5986045963
-2049.959608428702,3.754642793157819,51541.92219552456,-35241403136792.26,712.1775810893694,-21316.296764827377,-31.503489541183512,-51593.14534295654
-1912.8125556694981,3.765702026661638,51483.70085607934,-18210511160474.164,636.2681149151122,-21251.506867921562,-7.598484336152296,-51583.040393196396
-1829.0476269329586,3.7368418185140415,51445.78729053295,-34617779573901.33,654.4966380944021,-21296.0025584603,-53.93574047191646,-51572.812114761386
-1884.9652076054865,3.6841839629667543,51487.368825976664,-34101077088438.418,661.0753270692805,-21270.387814911322,-5.745829038027068,-51563.43014819204
-2003.4175582733776,3.5176178750374745,51524.01257582986,-20989939693235.38,694.6425280329381,-21299.00483953572,-20.32957530068734,-51558.64769758974
-2155.6486298888894,3.500138047410784,51582.16433633299,-34377521693878.652,742.1046437325364,-21303.115652289816,-16.585532426671307,-51556.992356574905
-2187.561475539386,3.466411775754471,51580.156983853616,-39041613288991.65,762.4344509630304,-21263.733990580527,-18.373015449036302,-51556.565257835355
-2217.9795335839217,3.4240035640893494,51593.79677580188,-38648407421597.234,751.9001991301737,-21266.736936699366,-23.28691226943988,-51556.367769604716
-2105.234279676292,3.3890444933395965,51558.28484340673,-14737448818762.672,711.7798214704053,-21238.682653612726,-5.988891475737773,-51555.007153392085
-1951.8259323605694,3.393336028271585,51492.580288739424,-17812125539343.887,644.1479301071266,-21209.66939524255,-5.592755365422704,-51551.10597807384
-1882.9031196916617,3.3451674469931607,51490.796748523775,-20355405361515.43,654.6775433438437,-21271.431911799253,-26.758437620258746,-51547.16363521486
-1829.3171293686648,3.276047647506112,51488.185218897226,-28859788081959.336,640.7188479109844,-21288.636170251477,-21.302520840951956,-51541.36556398782
-1695.7123405514078,3.1964660967319367,51406.919333830854,-31296570482401.17,602.7681735954777,-21230.91432000105,-26.759365339486635,-51534.46188337092
