Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Close
12749840480217.398,1121885239766.2715,-32557142530393.332,-11246099575564.033,16672276160058.648,24553115528962.676,4337063451217.0938,1000639835041.0898,-9408234909520.94,-26706055512327.438,7872063427854.933,781.765
9340311841616.533,821873675289.7391,-23850797423403.566,-8238697368405.644,12213820270693.32,17987186191803.336,3177257393928.213,733051337198.2639,-6892309484197.019,-19564392793565.863,5766936870125.351,794.3016666666666
11285893051990.418,993069463336.0134,-28818903856781.36,-9954812971377.266,14757951532546.842,21733906017740.81,3839078155950.045,885745474463.9719,-8327973303695.673,-23639643789938.984,6968186263897.511,796.0483333333334
8342499183766.437,734074017201.6329,-21302849677440.707,-7358568650225.372,10909034554628.646,16065639923326.715,2837835369906.634,654740511124.8743,-6156013649765.726,-17474355611553.59,5150863078185.83,802.5533333333333
11897579304291.123,1046892979813.4445,-30380865233879.844,-10494355724918.959,15557820319916.617,22911866211300.133,4047153096540.667,933752226436.0886,-8779342885147.325,-24920893208495.15,7345856569559.575,800.4816666666667
6394767468180.109,562689009668.4438,-16329251573879.55,-5640556152117.993,8362091217465.491,12314778558393.557,2175283058248.2102,501877552699.7871,-4718762841567.048,-13394599972688.658,3948285805872.362,788.68
9131377285849.232,803489049916.4789,-23317276286461.613,-8054404939527.197,11940607697421.475,17584828808621.66,3106184961424.5264,716653686607.7753,-6738134753041.946,-19126754525035.207,5637935786871.814,783.2466666666667
9751043637516.732,858014795202.0588,-24899615062047.06,-8600986654536.46,12750911847643.87,18778156706910.86,3316974451642.556,765286685294.8217,-7195392784218.291,-20424719380860.008,6020532971893.149,788.4666666666667
11364678200396.938,1000001941964.972,-29020084353711.426,-10024306056543.18,14860974646004.973,21885627194045.773,3865878190847.6016,891928723891.0826,-8386109628219.624,-23804668676699.426,7016830101395.635,808.6783333333333
10415090135099.287,916445671288.6738,-26595279648923.117,-9186714226766.98,13619249636525.512,20056949810231.938,3542860533272.274,817402673878.4885,-7685399171862.164,-21815643609935.44,6430531317589.167,827.2816666666665
11925338489104.992,1049335621835.1029,-30451749043400.258,-10518840983597.645,15594119764575.572,22965323566658.426,4056595809177.7603,935930757543.5178,-8799826447039.928,-24979038240713.32,7362995457896.496,845.0100000000001
9473483661713.58,833591743475.0695,-24190856155075.64,-8356162652353.45,12387961852715.629,18243643009202.625,3222557935555.738,743503006025.1676,-6990578319066.37,-19843337025111.83,5849160422183.852,859.6850000000001
9945522641471.883,875127455380.7528,-25396223357875.156,-8772528446164.227,13005221719341.27,19152676114719.5,3383129586759.5103,780549804276.4486,-7338900558662.586,-20832078749915.316,6140608772941.051,833.3616666666668
12199994978022.258,1073503178475.7191,-31153093345821.95,-10761103870706.498,15953272941920.94,23494245557184.81,4150024627676.9106,957486518368.9812,-9002498297137.74,-25554338537595.746,7532575278048.32,838.9233333333334
15077365237350.729,1326689019432.778,-38500554936020.03,-13299111581821.744,19715854222323.258,29035366704906.324,5128808489182.74,1183309945749.767,-11125738886935.625,-31581332796503.96,9309134321553.277,824.5133333333334
