Feature_1,Feature_2,Feature_3,Feature_4,Close
20818161852662.6,1831833873148.412,-53159869747501.62,-18362827570474.73,699.5583333333333
23681596173537.86,2083793447743.5664,-60471744718941.17,-20888542865079.586,683.2866666666666
17235826713150.56,1516616597644.016,-44012257769398.97,-15202999894440.436,724.096551724138
13596289815139.256,1196366093932.0605,-34718579166010.008,-11992717041107.861,685.4483333333334
21927145352792.953,1929415620971.2366,-55991696171219.19,-19341015367160.875,646.7266666666667
16929088053737.33,1489626044653.1926,-43228990332250.19,-14932438615175.002,680.3483333333334
15271510383384.527,1343772289005.019,-38996310566624.41,-13470358855037.164,661.6333333333333
18498798682138.246,1627748183961.835,-47237298738760.33,-16317014535931.268,672.4366666666666
20479189383382.277,1802006892633.298,-52294292483080.766,-18063834093129.98,665.4833333333333
16916667365069.723,1488533087218.5798,-43197273790952.45,-14921482813051.457,664.6566666666666
16690405490673.338,1468623860466.0308,-42619506422320.62,-14721906726893.38,666.3366666666666
14422994875514.541,1269109652637.7751,-36829597894936.16,-12721918938532.672,679.1333333333333
15251418900277.652,1342004426681.4666,-38945006204453.1,-13452637028026.857,672.95
20807819803365.637,1830923860144.9202,-53133460899268.21,-18353705279885.66,673.8316666666667
12331332889387.871,1085059899026.6809,-31488469317746.47,-10876951592905.354,665.0183333333333
18355551264008.54,1615143572035.7874,-46871511617378.07,-16190662026410.35,658.3133333333334
18407020391757.047,1619672451729.4094,-47002939689896.28,-16236060781961.24,626.7199999999999
24348668027018.188,2142490495994.9902,-62175134942873.87,-21476938966246.062,631.4116666666666
20900205979166.312,1839053049663.1577,-53369372363985.63,-18435195201904.855,615.63
20526936094457.484,1806208243137.2031,-52416215282894.734,-18105949484796.523,623.3666666666667
21079182513311.367,1854801554038.375,-53826394928880.29,-18593062877102.41,618.6133333333333
15060628783770.63,1325216368289.604,-38457817367868.75,-13284349031408.465,598.6483333333333
20873689891208.887,1836719813405.2954,-53301662630486.59,-18411806430757.83,625.6933333333333
25028495788961.695,2202309954948.303,-63911097961155.75,-22076586527700.594,646.175
17388757245518.299,1530073262256.07,-44402771094641.41,-15337893498877.105,627.1216666666667
15103539014071.92,1328992124250.2236,-38567390016037.43,-13322198332169.637,638.1416666666667
18742711566890.527,1649210549709.4448,-47860138148959.914,-16532159774366.914,656.7833333333333
