Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Close
8175388784659.347,719369616520.1462,-20876127521802.207,-7211167545529.672,10690513279094.89,15743825514027.58,2780990067241.2344,641625246800.9692,-6032701183598.515,-17124322865274.027,5047685032045.14,-821354782589.348,1064.8617647058825
8862044331943.666,779789914292.9188,-22629525619624.35,-7816837685649.515,11588415751563.023,17066158545383.193,3014567018397.561,695515715990.8561,-6539391168872.86,-18562604825185.074,5471642861947.499,-890340814295.1805,1048.0
8577467612246.387,754749390189.5647,-21902849344423.766,-7565824451230.507,11216290067647.055,16518132380387.523,2917763660008.0034,673181417233.2478,-6329399178841.861,-17966524888041.61,5295938304977.519,-861750316010.9072,1063.6808823529411
7425094444149.103,653349646442.2861,-18960226107853.176,-6549364403502.296,9709394030398.535,14298939819477.045,2525765382701.4355,582740261115.652,-5479051517690.0205,-15552742392294.502,4584434961710.957,-745975094027.8933,1064.8808823529412
9503941686235.826,836271826395.3962,-24268631662094.637,-8383028412329.549,12427790232725.412,18302297767145.32,3232918716627.301,745893402615.8267,-7013053534713.1875,-19907134994820.61,5867965864282.426,-954830282711.2466,1009.895588235294
6308167029496.232,555068867570.386,-16108114664933.242,-5564169577999.256,8248848574003.801,12148007144624.115,2145824538217.4558,495080943259.9349,-4654859541351.464,-13213205245596.273,3894816573862.113,-633761082807.8672,979.154411764706
5879812835927.892,517377079822.0648,-15014297977358.572,-5186336307411.241,7688712975944.599,11323100365294.844,2000112966169.1226,461462624153.5172,-4338772706022.6313,-12315966504717.32,3630340229088.541,-590725716814.6819,967.129411764706
7967102977897.74,701042119520.3368,-20344262931504.02,-7027447401432.56,10418149260725.498,15342717421392.398,2710138307248.3105,625278458943.8395,-5879005022807.426,-16688043648863.443,4919084269924.78,-800428948056.8225,927.6691176470588
8578560737741.039,754845577207.1991,-21905640682437.71,-7566788652770.437,11217719491826.568,16520237479917.094,2918135504652.0024,673267208613.126,-6330205807327.217,-17968814575578.715,5296613226034.168,-861860138144.6465,904.7220588235294
7195370917922.075,633135810311.6226,-18373619332642.465,-6346734928851.262,9408997107308.973,13856547686877.371,2447621218367.8687,564710943296.8538,-5309536140103.108,-15071559205517.797,4442597915395.064,-722895603635.9233,910.6985294117648
6731744461213.867,592340306098.4817,-17189733866162.38,-5937789441750.266,8802737702625.145,12963715126038.125,2289911231661.0073,528324420408.36633,-4967421693304.337,-14100438429429.904,4156343820778.759,-676316412235.3868,871.8838235294118
5806061800109.105,510887557137.20404,-14825972284279.453,-5121283597280.725,7592272668624.774,11181073695149.145,1975025368684.1597,455674474914.5757,-4284351131452.587,-12161486154971.938,3584804614186.192,-583316141528.0964,886.4823529411765
9220758087679.514,811353886926.2815,-23545512969482.406,-8133244017896.177,12057486285177.314,17756954544348.53,3136589263583.239,723668463034.3743,-6804089594167.153,-19313973266112.676,5693121483185.516,-926379678745.4036,1042.785
6639571989401.636,584229894591.8037,-16954368246532.064,-5856488002436.31,8682208948844.654,12786213089995.314,2258557265571.361,521090432460.1911,-4899406539823.889,-13907372333523.133,4099434045795.5103,-667056297020.6382,1035.4083333333333
7172779103957.922,631147923283.2488,-18315930337010.863,-6326807650255.121,9379455095810.643,13813041270400.39,2439936242959.0435,562937858938.758,-5292865351286.584,-15024238014077.57,4428649082894.759,-720625935021.945,1071.3
6439517828015.974,566626708099.4895,-16443523271885.627,-5680028614921.508,8420608950083.718,12400957054153.322,2190505622069.516,505389673903.132,-4751784570497.805,-13488335120497.158,3975915712212.4556,-646957507385.802,1062.71
6489148326623.981,570993784100.0358,-16570256320993.969,-5723805565168.124,8485507979390.6045,12496533365079.986,2207388231556.5874,509284807578.6683,-4788407435248.303,-13592291963653.666,4006558857966.279,-651943712989.812,1047.26
7544462747103.755,663853101840.154,-19265037209662.836,-6654654181320.761,9865485457098.5,14528814464335.055,2566370443904.654,592108620788.3595,-5567134661380.848,-15802773546849.098,4658135956327.674,-757967553391.5328,1101.5879310344828
9411171026953.592,828108673430.1593,-24031738901350.008,-8301199240948.3545,12306478737944.012,18123644011897.33,3201361306648.0254,738612622600.4541,-6944597397581.483,-19712815656377.13,5810687366919.982,-945509671326.4037,1031.045
12660592366180.752,1114032083996.8047,-32329244584803.715,-11167377532840.633,16555571096633.008,24381245264305.67,4306704278797.5044,993635455904.1464,-9342377942137.01,-26519114663360.35,7816959617940.829,-1271968461095.563,993.19
11220861576116.832,987347131526.0786,-28652844092482.977,-9897451368424.293,14672913014929.357,21608671284233.68,3816956682735.095,880641753711.3899,-8279986240683.262,-23503427460344.83,6928034688760.14,-1127323330598.611,953.7666666666668
5798226176363.569,510198040768.0562,-14805963893938.637,-5114372081850.655,7582026242529.578,11165984267479.945,1972359969662.4546,455059577189.3219,-4278569311792.318,-12145073404925.314,3579966946439.3447,-582528765910.3088,887.1816666666667
11022299853023.291,969875275913.1089,-28145810070501.426,-9722308403966.363,14413264636039.314,21226289298211.94,3749412712419.951,865058112199.3805,-8133465520853.83,-23087516349054.062,6805437773991.606,-1107374516067.241,900.9383333333334
10857781759739.852,955399015382.4022,-27725707532131.258,-9577193922820.916,14198133392095.963,20909467083835.67,3693449223144.296,852146267826.116,-8012065843915.123,-22742913742012.086,6703860091294.801,-1090846038810.8475,926.3216666666668
6683196139562.313,588068402290.0635,-17065764179490.494,-5894966965843.192,8739253525061.1,12870222824290.533,2273396747363.3066,524514269751.86786,-4931597521054.973,-13998748093101.365,4126369079884.5664,-671438809982.5657,996.205
10945801782064.945,963144008456.0493,-27950469892256.816,-9654832633379.33,14313232048889.938,21078972609986.03,3723390681472.429,859054417570.7225,-8077017011843.363,-22927281986646.797,6758206245885.487,-1099688826088.6812,1051.8266666666666
12430848425287.12,1093816507337.1844,-31742585026404.973,-10964730043936.516,16255147726922.506,23938813384730.715,4228553116985.784,975604394938.5714,-9172847134623.947,-26037888540195.492,7675109537509.583,-1248887304814.2034,1073.8316666666667
12305651398827.744,1082800106886.4612,-31422891427964.844,-10854299076577.455,16091434162198.297,23697714901943.797,4185965421888.8594,965778816848.3785,-9080463504593.299,-25775649051575.875,7597810352960.136,-1236308597435.5505,1036.246666666667
4692403208517.302,412894398034.14624,-11982207906328.273,-4138972051416.267,6136001630919.006,9036435993804.174,1596196468538.2644,368271715193.7578,-3462571283220.483,-9828795916103.023,2897204523833.57,-471430509504.5774,977.3433333333334
5671380225940.047,499036572236.90894,-14482058663802.29,-5002486569482.063,7416156530380.255,10921709671131.635,1929211290736.7236,445104429867.71576,-4184968535402.143,-11879379454159.643,3501649317804.921,-569784848952.591,910.6983333333334
6481160370675.253,570290892615.8326,-16549858995811.3,-5716759728152.722,8475062498302.521,12481150613286.818,2204671014797.8696,508657931287.3525,-4782513142728.238,-13575560297820.602,4001627013932.9136,-651141082828.059,865.9449999999999
9188955539043.36,808555472779.5569,-23464304227317.71,-8105192284732.611,12015899609771.066,17695710599899.65,3125771129382.176,721172577415.68,-6780622337250.72,-19247358938541.883,5673486047633.832,-923184429254.8057,829.9133333333334
9964826960734.25,876826037222.797,-25445517735759.906,-8789555935461.911,13030464701085.666,19189851684524.06,3389696279310.446,782064924172.1555,-7353145597218.1455,-20872513821659.008,6152528003974.558,-1001133735953.1816,844.3366666666667
9308178840148.66,819046184563.5653,-23768744892580.94,-8210354161805.404,12171801480898.016,17925305897940.42,3166326853361.91,730529520516.5424,-6868598393622.906,-19497086315056.164,5747097414290.164,-935162416908.0432,831.6333333333333
9231439865140.652,812293749430.5148,-23572789385737.688,-8142665917913.111,12071454020190.4,17777525170122.35,3140222859057.9365,724506866017.8302,-6811971977288.34,-19336347376645.316,5699716956605.712,-927452664001.8348,808.4783333333332
9526664170668.65,838271142241.7292,-24326654444597.055,-8403070872886.656,12457502785600.162,18346055903990.055,3240648157496.1665,747676827974.1893,-7029820977730.058,-19954729658281.508,5881995728387.224,-957112870304.9164,856.995
14376467538316.12,1265015545088.4924,-36710789093796.64,-12680879071704.201,18799328162775.1,27685606766512.586,4890386842926.03,1128301703514.6062,-10608539436521.33,-30113219094077.355,8876382956169.49,-1444356829418.866,840.6766666666666
10191883318877.854,896805214434.1812,-26025313721369.09,-8989832842686.834,13327374065970.26,19627107433531.59,3466933153266.6855,799884872630.261,-7520692726002.794,-21348110395783.59,6292718100736.633,-1023945375008.6062,829.555
10373602307252.787,912795039972.8585,-26489339135807.047,-9150119518544.492,13564998092098.168,19977054298225.484,3528747788197.8833,814146640710.7621,-7654784993919.519,-21728742302881.26,6404915884134.326,-1042202094368.2104,777.7616666666667
9845852127567.537,866357211183.5862,-25141711309562.89,-8684613222362.364,12874887839865.19,18960734721568.406,3349225056579.8076,772727428623.4319,-7265352750183.884,-20623306840881.613,6079069881780.898,-989180854636.578,758.4449999999999
8804786031196.354,774751608370.8848,-22483314729770.465,-7766332514026.377,11513542043540.85,16955892937180.783,2995089695051.986,691021978969.9285,-6497139800484.797,-18442670449195.75,5436290335551.578,-884588159979.6788,809.33
11193110697600.648,984905331358.1263,-28581981127495.94,-9872973537268.91,14636624981471.465,21555229668576.805,3807516754799.336,878463711893.8153,-8259508363222.921,-23445300108660.797,6910900286248.018,-1124535500929.9849,850.6383333333332
11495167208854.562,1011483950681.343,-29353292362042.203,-10139404944450.105,15031608085878.049,22136917515905.227,3910266125348.9717,902169822783.3184,-8482398749888.607,-24077993417734.473,7097397174722.509,-1154882267350.4285,790.9683333333334
8864647283222.215,780018949212.8378,-22636172134512.06,-7819133608153.768,11591819465050.307,17071171064437.154,3015452439661.6777,695719979839.421,-6541311857326.45,-18568056863716.613,5473249951774.469,-890602395569.3301,805.4283333333333
10119145857070.668,890404912638.7069,-25839576097054.387,-8925674193413.268,13232259324197.943,19487032574527.53,3442190325700.4067,794176219236.1078,-7467018935878.272,-21195753176144.008,6247808088871.681,-1016637764348.4543,787.2583333333333
7573079438986.682,666371170142.0234,-19338110656934.805,-6679895770029.891,9902906068886.615,14583923154768.996,2576104853510.795,594354476261.864,-5588251062024.06,-15862714569603.363,4675804427005.327,-760842727591.6104,735.4133333333333
7731690594875.482,680327700558.267,-19743129519304.086,-6819800019704.641,10110313297490.422,14889369953360.494,2630058990324.9116,606802679385.0449,-5705291814470.544,-16194944478168.01,4773734825853.946,-776777882148.4442,711.9116666666666
10791604311065.326,949575947043.7932,-27556721123245.85,-9518821591716.932,14111596845401.664,20782025228370.387,3670937889402.2017,846952457070.7878,-7963232742086.613,-22604297270558.934,6663000372455.187,-1084197500526.3508,722.88
8083876596290.371,711317288121.8687,-20642448224414.914,-7130448525340.441,10570847871779.8,15567595200362.46,2749860728302.7764,634443130786.6067,-5965173391350.356,-16932639911231.922,4991183077417.234,-812160862462.1841,729.5883333333334
8266878085502.514,727419963355.6921,-21109748645304.52,-7291866453233.3125,10810148959524.66,15920011915495.553,2812111633272.9766,648805565331.324,-6100212059562.693,-17315958233813.379,5104172731342.4795,-830546393439.7772,726.1183333333333
6437972780303.31,566490724624.2384,-16439578054597.455,-5678665765436.591,8418588418862.488,12397981744396.18,2189980061774.758,505268462183.1003,-4750644594278.954,-13485098760132.12,3974961947440.2705,-646802159460.0953,714.8433333333334
10233296196665.31,900449237103.224,-26131062788042.8,-9026361415141.656,13381527523279.803,19706858575604.27,3481020401335.4453,803135030876.6516,-7551251624380.216,-21434854600965.33,6318287319842.582,-1028106070132.3052,693.8349999999999
5545084810553.958,487923649551.8812,-14159558811700.535,-4891086743189.08,7251007227714.456,10678494975174.7,1886249841073.6462,435192327432.1459,-4091773563872.544,-11614838863999.72,3423670985780.435,-557096664288.3383,660.4783333333332
7276491076803.711,640273728555.2943,-18580762411157.516,-6418287605216.967,9515073482640.139,14012765566162.43,2475215550894.597,571077480547.5782,-5369395571945.8545,-15241474985855.26,4492683562370.093,-731045430342.4465,655.3783333333334
