Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Close
12115890412715.627,1066102647842.8214,-30938329899935.38,-10686918814974.506,15843294040329.25,23332280689403.098,4121415127477.6685,711.5566666666667
11847080776034.162,1042449486178.7831,-30251915619476.035,-10449813069398.92,15491786046685.504,22814618268055.535,4029975213842.3657,708.3449999999999
15405297988358.541,1355544504401.6252,-39337941798932.51,-13588367257070.768,20144674098358.176,29666885805438.195,5240360067317.042,699.1766666666666
13718579171996.945,1207126577654.1042,-35030849118334.586,-12100583336489.732,17939043253465.11,26418672473021.18,4666595513379.548,656.8183333333333
17142283713449.387,1508385551017.9976,-43773392490251.64,-15120489521114.443,22416036394223.047,33011900927313.957,5831223700464.023,680.3966666666666
11297504562331.645,994091148674.2936,-28848554458962.67,-9965054978165.98,14773135132693.719,21756267126680.734,3843028015860.9,656.2783333333333
15027069742124.85,1322263428262.8801,-38372123341470.195,-13254748008564.055,19650085609548.73,28938509468220.656,5111699636497.606,667.9449999999999
17170549899493.473,1510872758762.376,-43845571380924.16,-15145421977319.148,22452998604392.38,33066334935581.85,5840838914425.196,664.7133333333334
8597249347278.82,756490006520.8529,-21953362701891.355,-7583273068095.297,11242157512588.818,16556227242726.48,2924492737094.956,662.8216666666667
8839341458043.236,777792200455.877,-22571552880859.887,-7796812355299.155,11558728255525.688,17022438158167.219,3006844258801.6934,656.5633333333333
7376115769423.727,649039906287.6373,-18835157377259.816,-6506162356997.071,9645347289387.54,14204618666706.627,2509104491115.5547,651.2666666666667
8822514835936.46,776311585002.6293,-22528585722387.16,-7781970312745.626,11536724974814.197,16990034263881.396,3001120425799.5674,640.27
13652725407235.807,1201331988928.2751,-34862689265811.066,-12042496513189.295,17852929961796.137,26291853966991.883,4644194287379.213,628.8083333333333
10029093119381.285,882480943189.2172,-25609623511549.562,-8846242407583.953,13114502066876.92,19313612785531.992,3411557445559.69,628.565
15722004518335.299,1383412252383.1094,-40146662257197.85,-13867720876895.53,20558814453965.234,30276785989025.62,5348092865514.821,673.0383333333334
11954447065274.23,1051896932025.4889,-30526078820621.203,-10544516425854.482,15632183429984.871,23021379690457.164,4066497563268.0073,681.24
14636641175772.064,1287908809965.7864,-37375150927136.67,-12910367351616.691,19139543367443.56,28186638239475.953,4978889069552.93,662.7
12840260571132.365,1129841529773.333,-32788033019402.562,-11325855365538.344,16790513818639.207,24727242639560.31,4367821277133.5654,660.355
11582257573804.215,1019147158694.0123,-29575680725545.207,-10216223655598.842,15145491197328.14,22304632677935.098,3939891334357.805,667.635
12254056653998.807,1078260204292.3971,-31291141918231.16,-10808789476266.291,16023966644412.008,23598355466420.836,4168414590069.496,695.1633333333334
12288750536766.242,1081312967981.5419,-31379733119802.02,-10839391366315.604,16069333785572.488,23665167007402.86,4180216222026.205,684.3033333333333
19681589657044.203,1731824470188.189,-50257595717245.93,-17360304982629.941,25736549628846.72,37901991869500.66,6695009543059.306,704.5949999999999
16081425541099.133,1415038446972.359,-41064455892206.63,-14184751075814.031,21028809786638.867,30968944184033.883,5470355719182.374,708.4583333333334
17199834808882.861,1513449626224.3555,-43920351218752.234,-15171252983963.803,22491293023619.047,33122730498520.95,5850800633272.89,721.9566666666667
19464772368212.406,1712746223829.9888,-49703944751446.33,-17169059396829.424,25453029157177.57,37484453592932.414,6621255602912.609,716.9533333333333
16552853531710.19,1456520412758.946,-42268262940845.1,-14600577966335.63,21645270780504.0,31876800686542.766,5630719532141.306,734.8083333333333
16721042844516.479,1471319744952.7764,-42697739885141.77,-14748930698532.7,21865202840838.316,32200692664225.598,5687931829026.854,735.85
11399601913949.38,1003074924882.4747,-29109263282653.3,-10055110770561.3,14906642383052.133,21952881874217.812,3877758059664.6235,721.7633333333332
13480208841764.463,1186151916974.1685,-34422162362512.27,-11890326903316.92,17627339502360.89,25959628627318.027,4585509990251.346,725.9333333333333
17013041553166.01,1497013318390.5405,-43443368272121.49,-15006490499536.945,22247033707137.38,32763011673929.824,5787259887528.947,734.5916666666667
22038776923818.168,1939238422057.3008,-56276750868983.19,-19439481002663.836,28818916204895.285,42441364915373.53,7496844645461.276,752.285
20957797556760.246,1844120699324.206,-53516434239447.086,-18485994360516.477,27405377631769.35,40359659696523.05,7129132138884.537,800.4155172413792
12029353741583.805,1058488125575.4518,-30717355518122.188,-10610588461153.297,15730134823836.72,23165631872663.188,4091978275388.3486,769.025
15994818827024.076,1407417717931.402,-40843302817461.375,-14108358902939.01,20915558764150.594,30802160595331.074,5440895058298.249,758.3833333333333
17918949577442.72,1576726045324.8884,-45756634663587.17,-15805553953201.262,23431640466933.664,34507571931065.184,6095419091161.167,760.2466666666667
16205542952706.105,1425959829646.555,-41381393780892.41,-14294229872995.89,21191111561619.848,31207964319895.23,5512576246128.723,768.595
19043438382335.434,1675672220660.976,-48628054223021.22,-16797418416833.645,24902073812443.66,36673065915085.414,6477932046666.253,771.4683333333334
19220787131877.7,1691277523398.3774,-49080920196707.91,-16953850333218.24,25133983242724.152,37014596821480.25,6538260078706.47,771.69
17130637284670.896,1507360861836.9832,-43743652316040.586,-15110216754518.701,22400807490861.492,32989472289922.332,5827261921952.777,766.7316666666667
19707837166728.027,1734134109549.2593,-50324619031430.65,-17383456825521.422,25770872380698.402,37952537853406.99,6703938006856.2705,754.7066666666667
19392547461168.176,1706391072270.23,-49519515859562.414,-17105352904347.273,25358584904868.332,37345365721677.47,6596687115625.528,736.4416666666667
15737051147324.836,1384736249009.982,-40185084308707.22,-13880992891267.578,20578490177702.52,30305762151781.043,5353211215628.355,699.5583333333333
17901604035497.14,1575199784672.9553,-45712342249286.24,-15790254191860.916,23408958692571.434,34474168605290.043,6089518724880.926,683.2866666666666
13029060321028.623,1146454386171.1355,-33270139627514.285,-11492387686523.03,17037396887975.87,25090825495013.742,4432044565455.015,724.096551724138
10277829029719.668,904367760438.2776,-26244778956220.215,-9065641952782.22,13439760663607.225,19792618117816.76,3496168966579.805,685.4483333333334
16575363875730.23,1458501116792.3289,-42325743872495.26,-14620433361424.652,21674706192967.863,31920150192947.59,5638376793313.08,646.7266666666667
12797187689515.266,1126051445896.3271,-32678045099299.84,-11287862583854.506,16734189696261.652,24644294743828.406,4353169352781.896,680.3483333333334
11544176748221.75,1015796370116.3704,-29478439945236.707,-10182634171778.596,15095695075892.812,22231298114926.85,3926937516802.037,661.6333333333333
13983777390396.336,1230461969085.7231,-35708041448349.97,-12334503600314.32,18285828817708.38,26929380125685.93,4756806939037.82,672.4366666666666
15480812045892.49,1362189171066.279,-39530769399516.03,-13654975067071.969,20243419873632.03,29812307610294.68,5266047381566.902,665.4833333333333
12787798531421.938,1125225247734.7373,-32654069647665.297,-11279580775902.469,16721911871078.166,24626213545543.527,4349975488537.589,664.6566666666666
12616760631185.318,1110175286939.6401,-32217318569651.574,-11128715435442.506,16498254983586.648,24296835761085.887,4291794183534.3784,666.3366666666666
10902759314677.275,959356722100.3204,-27840559119002.58,-9616866774537.215,14256948323720.94,20996082918982.477,3708749047293.7,679.1333333333333
11528989014572.82,1014459991813.4213,-29439657492814.406,-10169237729765.176,15075835009606.533,22202050157289.477,3921771156862.117,672.95
15729233292900.11,1384048343839.3896,-40165121095896.58,-13874097087757.309,20568267210936.07,30290706810769.703,5350551841839.135,673.8316666666667
9321611474077.674,820228185838.1295,-23803045423098.53,-8222202553518.694,12189366816349.34,17951173796904.2,3170896161660.032,665.0183333333333
13875492520589.686,1220933778077.4944,-35431532375216.35,-12238990080965.389,18144230667482.12,26720849565215.99,4719972091078.163,658.3133333333334
13914399524081.105,1224357289330.9385,-35530882659552.28,-12273308314399.521,18195107258369.76,26795775033755.816,4733206931126.355,626.7199999999999
18405862958617.105,1619570582492.0488,-46999984225921.83,-16235039836457.064,24068350763902.17,35445249596351.16,6261050515691.254,631.4116666666666
15799070677399.79,1390193433503.895,-40343453400774.086,-13935697678620.404,20659589540520.094,30425196906510.53,5374308174095.601,615.63
15516905166871.416,1365365093524.5503,-39622934373075.02,-13686811310705.613,20290616959390.67,29881814239122.48,5278325034900.961,623.3666666666667
15934364220218.105,1402098183817.62,-40688929986561.57,-14055034423942.877,20836505516630.008,30685739629025.72,5420330453264.545,618.6133333333333
11384765242890.932,1001769412527.5646,-29071377349063.234,-10042023961853.875,14887241258363.564,21924310027413.03,3872711127692.9404,598.6483333333333
15779026398977.604,1388429672678.677,-40292269653294.98,-13918017429498.566,20633378605127.734,30386596458478.996,5367489792349.936,625.6933333333333
18919764442177.145,1664789843050.0212,-48312248920658.66,-16688330785569.918,24740351863780.77,36434899909499.44,6435862387653.833,646.175
13144664937175.41,1156626668468.249,-33565339953870.973,-11594357666749.473,17188566730556.36,25313452143820.05,4471369344451.861,627.1216666666667
11417202328055.994,1004623615751.2985,-29154206485505.836,-10070635343885.803,14929657455157.965,21986775998496.86,3883745121999.75,638.1416666666667
14168158200287.453,1246685992604.3767,-36178863787240.89,-12497138113645.867,18526933446483.992,27284452938549.324,4819527029734.346,656.7833333333333
3174516348819.6343,279332320154.94775,-8106233709278.7705,-2800107736456.546,4151143109575.4565,6113352550050.46,1079862853885.2236,702.032142857143
7817084714463.89,687841684287.8702,-19961186300358.504,-6895122565822.925,10221978475422.504,15053818444792.006,2659107178335.1865,663.5216666666668
7230635153151.647,636238744496.3761,-18463667807450.766,-6377839988390.704,9455110084485.184,13924458133834.98,2459616921912.951,671.8862068965517
8677596599815.255,763559929523.6223,-22158532114407.473,-7654144012447.675,11347223263376.814,16710956675886.615,2951824150187.269,656.9283333333333
11472045041979.04,1009449308974.9685,-29294249001046.82,-10119009736559.906,15001372125022.295,22092389716807.977,3902400745878.4795,667.1483333333333
13125090055286.502,1154904208013.4192,-33515355256414.08,-11577091502417.754,17162969611383.48,25275755919405.395,4464710665522.716,675.2283333333332
15436731000894.357,1358310353928.9326,-39418207088498.445,-13616092995128.518,20185777312244.074,29727418231307.543,5251052516614.319,686.8266666666666
12756673808530.33,1122486494181.8115,-32574591717959.508,-11252126942621.412,16681211638868.607,24566274901973.15,4339387922433.722,684.2466666666667
10465823685438.98,920909802902.4071,-26724829510600.867,-9231464143674.854,13685591081200.32,20154650410990.223,3560118370632.457,689.1583333333333
16708834450415.889,1470245462396.9941,-42666565421209.16,-14738162142458.133,21849238381692.426,32177182300751.277,5683778958311.873,704.5033333333333
12833401824451.143,1129237983484.9548,-32770519207633.508,-11319805540313.6,16781544862304.42,24714034500793.062,4365488183968.895,700.705
11635161808036.936,1023802299479.5237,-29710773457029.574,-10262888244387.297,15214671128820.969,22406513471076.297,3957887563566.4834,687.2283333333334
10950834178249.924,963586894734.0059,-27963319962281.92,-9659271558156.281,14319813041184.658,21088663559411.152,3725102496315.7563,661.9
11940976338214.367,1050711557423.839,-30491681050008.316,-10532634409531.162,15614568206520.133,22995438447701.156,4061915299084.77,682.5733333333334
