Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Close
12363943292909.94,1087929316537.6556,-31571741340453.594,-10905715842534.754,16167659251423.973,23809970763365.207,783.2466666666667
13202975499411.174,1161757524661.2307,-33714238170787.066,-11645790983202.596,17264816257397.746,25425744375869.375,788.4666666666667
15387847026058.969,1354009030205.6624,-39293379965887.805,-13572974563863.61,20121854792410.95,29633279305662.184,808.6783333333333
14102098707548.623,1240873304885.2617,-36010178874980.77,-12438869865111.75,18440551181576.266,27157238423030.04,827.2816666666665
16146984645628.723,1420807148523.489,-41231863119486.69,-14242578020500.99,21114537975650.777,31095195105070.734,845.0100000000001
12827157515575.404,1128688556296.4856,-32754574074143.13,-11314297717184.018,16773379641104.502,24702009407871.754,859.6850000000001
13466301315582.344,1184928176077.4302,-34386648982015.117,-11878059667066.602,17609153451455.703,25932846051255.863,833.3616666666668
16518871289636.45,1453530174905.9197,-42181487794111.09,-14570603520316.045,21600833676634.242,31811358865752.88,838.9233333333334
20414849038160.086,1796345424146.7854,-52129997816670.555,-18007082206376.46,26695392813726.37,39314072367224.56,824.5133333333334
11512817683040.318,1013037030479.1667,-29398362914560.86,-10154973593364.832,15054688552224.21,22170907721660.77,823.2883333333333
14998660470471.889,1319763619509.112,-38299579983173.125,-13229689441321.477,19612936306164.023,28883800496857.47,823.2099999999999
10666508154976.084,938568464045.0059,-27237283931133.35,-9408479508000.223,13948015371848.604,20541120219048.152,832.9566666666666
13281869885587.264,1168699634353.8433,-33915697285474.06,-11715380407235.428,17367982293514.807,25577675704204.36,845.3383333333334
13902266359473.236,1223289619496.595,-35499900357322.87,-12262606113886.71,18179241152880.016,26772409580954.04,837.3966666666668
15891809224861.098,1398353678998.3416,-40580264393956.81,-14017498446453.326,20780858658343.027,30603788979224.773,855.9266666666666
13232377100087.51,1164344664261.4702,-33789315796304.203,-11671724900680.283,17303263277933.125,25482364535928.65,875.4916666666667
