Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Close
8786064466030.341,773104133368.7931,-22435508809482.043,-7749818869292.123,11489060294012.04,910.6983333333334
10040570471889.9,883490851837.953,-25638931309143.273,-8856366088561.89,13129510365597.074,865.9449999999999
14235468708702.133,1252608752224.035,-36350743801098.31,-12556509894631.295,18614951631337.414,829.9133333333334
15437443546704.969,1358373055873.9746,-39420026570489.43,-13616721503441.012,20186709112259.36,844.3366666666667
14420168652566.414,1268860893035.766,-36822381251687.43,-12719425974054.832,18856473771544.312,831.6333333333333
14301285143681.998,1258400065509.1057,-36518808285846.81,-12614563797523.28,18701016153882.4,808.4783333333332
14758644671164.23,1298644069403.3943,-37686691013146.805,-13017981419076.254,19299080329584.773,856.995
22271927741275.938,1959753655528.4915,-56872109914562.91,-19645133383992.21,29123793957726.42,840.6766666666666
15789197744201.238,1389324664118.2217,-40318242649074.34,-13926989153965.832,20646679122471.773,829.555
16070715590467.553,1414095995326.246,-41037107730008.42,-14175304204452.096,21014804680812.633,777.7616666666667
15253128527715.98,1342154820312.2922,-38949371678836.7,-13454144951384.865,19945690475234.508,758.4449999999999
13640315866297.273,1200240030667.1392,-34831001406376.37,-12031550595173.334,17836702636197.047,809.33
17340292529625.354,1525808778376.3684,-44279014763362.59,-15295144834955.602,22674961919168.965,850.6383333333332
17808236464705.32,1566984198377.97,-45473924989818.73,-15707898596123.354,23286867113328.973,790.9683333333334
13733052519168.982,1208400160011.0117,-35067807079539.844,-12113349698460.094,17957969496153.125,805.4283333333333
15676513352911.393,1379409359212.3926,-40030499158780.35,-13827595001905.156,20499327998126.57,787.2583333333333
11732164218680.488,1032337777741.1221,-29958472208569.88,-10348450028690.852,15341516113541.686,735.4133333333333
11977883564792.502,1053959141690.3018,-30585924732112.31,-10565188760312.434,15662830010447.922,711.9116666666666
16718281510246.473,1471076731543.899,-42690688794565.33,-14746495000095.7,21861591828253.508,722.88
12523487772091.398,1101968004306.168,-31979143279243.13,-11046443355853.102,16376287105078.113,729.5883333333334
12806992460111.312,1126914161510.1619,-32703081978355.586,-11296510934456.463,16747010756104.176,726.1183333333333
9973664544580.553,877603656900.2588,-25468084809653.15,-8797351175285.64,13042021097931.621,714.8433333333334
15853354298596.98,1394969959762.3838,-40482068398716.05,-13983578975077.137,20730573297791.543,693.8349999999999
8590408449833.274,755888067574.0719,-21935894186944.258,-7577239000490.872,11233212094467.08,660.4783333333332
11272691503715.059,991907795083.5132,-28785193351299.93,-9943168402469.916,14740688454482.025,655.3783333333334
11209437220155.479,986341914136.5428,-28623671453318.445,-9887374449698.092,14657974235109.803,658.8783333333333
12437299772707.998,1094384117373.7501,-31759059407583.24,-10970420511686.602,16263583605217.3,662.4599999999999
12048861100422.332,1060204591234.8909,-30767168264851.08,-10627795054504.135,15755643426035.555,665.6566666666666
14753069179181.088,1298153503272.0012,-37672453875208.42,-13013063563181.156,19291789734826.5,676.4566666666667
13417748905624.09,1180655891873.0718,-34262668954090.883,-11835233569855.357,17545663831026.164,701.075
16068830023264.738,1413930080312.0696,-41032292971258.6,-14173641037022.17,21012339032626.72,739.2549999999999
11702749964371.113,1029749547087.9237,-29883361953129.75,-10322504939994.9,15303052642689.805,722.3566666666667
