Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
12727455574463.54,1119915503257.5918,-32499982041528.156,-11226354748349.078,16643004435037.22,24510007680439.07,4329448877637.3267,998883067885.9636,-9391717015818.994,900.9383333333334
12537486443576.023,1103199757429.0664,-32014889414297.63,-11058790978843.807,16394592271833.635,24144172898928.285,4264827806441.146,983973754236.686,-9251536743498.799,926.3216666666668
7717090180446.736,679042900728.1625,-19705847085911.02,-6806921529187.034,10091220750420.822,14861253224269.205,2625092448130.0493,605656909670.0817,-5694518312631.958,996.205
12639123210742.963,1112142905100.9502,-32274422632542.004,-11148440439724.678,16527496752800.365,24339901021232.363,4299401224492.5024,991950598465.9875,-9326535892073.902,1051.8266666666666
14353907369189.908,1263030509910.359,-36653180019538.99,-12660979684916.648,18769827831711.68,27642160703508.99,4882712560748.747,1126530920080.7324,-10591891524820.842,1073.8316666666667
14209342295333.787,1250309866378.9075,-36284029649303.766,-12533464987453.4,18580787690384.652,27363764155632.516,4833536526291.995,1115185319770.0994,-10485216097487.023,1036.246666666667
5418320511167.455,476769383703.8056,-13835861920409.38,-4779273256107.038,7085244386718.138,10434377507075.328,1843128921580.1934,425243547804.08234,-3998232924911.2266,977.3433333333334
6548745800246.412,576237798632.8949,-16722440935932.41,-5776373935015.914,8563439938334.879,12611304037277.574,2227661316061.0254,513962324803.2411,-4832385420929.08,910.6983333333334
7483799369340.983,658515200736.2859,-19110131092564.01,-6601145535882.771,9786159229587.723,14411991332754.809,2545734807736.231,587347587108.382,-5522370500714.14,865.9449999999999
10610491908076.373,933639439728.0444,-27094244723978.305,-9359069894848.102,13874765748513.686,20433246556707.55,3609329605947.918,832738363406.2382,-7829588263369.782,829.9133333333334
11506391056415.922,1012471497246.1093,-29381953028820.758,-10149304970792.414,15046284605675.451,22158532071537.918,3914084118661.917,903050788989.1165,-8490681179888.813,844.3366666666667
10748159118050.018,945753070273.0208,-27445782524062.3,-9480500370921.027,14054785723038.305,20698360370964.57,3656159322261.679,843542830642.3878,-7931174263027.229,831.6333333333333
