Feature_1,Feature_2,Feature_3,Close
15146158877973.363,1332742340284.0469,-38676221313869.61,735.4133333333333
15463381189750.965,1360655401116.534,-39486259038608.17,711.9116666666666
21583208622130.652,1899151894087.5864,-55113442246491.7,722.88
16167753192580.742,1422634576243.7373,-41284896448829.83,729.5883333333334
16533756171005.027,1454839926711.3843,-42219497290609.04,726.1183333333333
12875945560606.62,1132981449248.4768,-32879156109194.91,714.8433333333334
20466592393330.62,1800898474206.448,-52262125576085.6,693.8349999999999
11090169621107.916,975847299103.7625,-28319117623401.07,660.4783333333332
14552982153607.422,1280547457110.5886,-37161524822315.03,655.3783333333334
14471321224673.244,1273361935705.7258,-36953000948671.664,658.8783333333333
16056484963829.117,1412843820314.146,-41000769392260.62,662.4599999999999
15555012794234.023,1368718241808.4585,-39720243433243.195,665.6566666666666
19046130412138.086,1675908966331.0923,-48634928823149.75,676.4566666666667
17322239351691.63,1524220202275.358,-44232915418603.97,701.075
20744770357714.027,1825375884583.454,-52972462444796.07,739.2549999999999
15108185238946.256,1329400948878.7197,-38579254391053.27,722.3566666666667
22266167374484.664,1959246827272.872,-56857400363404.055,756.4316666666667
24414085790658.45,2148246680687.8948,-62342181619370.71,781.765
17885335504122.387,1573768271747.4536,-45670799989543.2,794.3016666666666
21610839886429.07,1901583248165.877,-55183999536612.305,796.0483333333334
15974669729946.225,1405644726336.8716,-40791851507280.2,802.5533333333333
22782129885218.227,2004647435586.4014,-58174927864017.336,800.4816666666667
12245047443668.008,1077467422186.2731,-31268136212410.258,788.68
17485256289245.1,1538564394350.8445,-44649184791404.79,783.2466666666667
18671827014946.973,1642973247564.908,-47679132866203.74,788.4666666666667
21761701959975.09,1914857934092.4893,-55569230859237.78,808.6783333333333
19943379250139.355,1754859856955.4617,-50926083348478.92,827.2816666666665
22835284677278.258,2009324738958.5625,-58310660025489.09,845.0100000000001
18140340125222.71,1596206664009.798,-46321962885407.37,859.6850000000001
19044225955499.203,1675741497046.7163,-48630065354928.75,833.3616666666668
23361211812899.4,2055602086670.488,-59653632119507.06,838.9233333333334
28870956383565.324,2540416061535.233,-73722949918815.31,824.5133333333334
16281582908484.41,1432650707689.8042,-41575563545338.19,823.2883333333333
21211309054770.566,1866427609836.391,-54163785445396.54,823.2099999999999
15084720495930.4,1327336251068.132,-38519336337615.54,832.9566666666666
18783400525872.297,1652790873243.6824,-47964039078457.76,845.3383333333334
19660773633290.28,1729992770602.3079,-50204440548219.47,837.3966666666668
22474412136444.426,1977570737833.7673,-57389160270619.734,855.9266666666666
18713407157378.914,1646632015475.3186,-47785308662440.85,875.4916666666667
23204160852254.72,2041782817427.4512,-59252598050200.14,781.3866666666668
21125752930161.84,1858899376608.4348,-53945312537618.4,773.7366666666668
18986033153271.562,1670620861143.5234,-48481470012483.29,770.495
18355660111274.98,1615153071573.9187,-46871788824621.89,765.2683333333333
25730701215907.11,2264098420065.0454,-65704203972527.06,759.3116666666666
22053140547861.746,1940502157744.803,-56313429239575.32,765.705
27693963528881.68,2436850039573.3066,-70717458401394.27,750.1066666666667
