Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Close
6147384184766.871,540921253273.13763,-15697550471540.996,-5422349801139.007,8038601589823.889,11838378293675.98,2091131676060.6743,482462311523.8783,-4536216302198.72,-12876426610099.312,3795545320619.8843,-617607707867.619,-583381571743.753,1036.654411764706
11260261372978.443,990814077036.4142,-28753452545568.523,-9932204345416.07,14724434352232.502,21684545618859.84,3830359131982.4497,883733842061.204,-8309059455985.396,-23585955195022.965,6952360672024.183,-1131281972670.092,-1068589261622.2894,999.6691176470588
9462500784562.473,832625328707.5906,-24162811011028.62,-8346475105976.322,12373600077514.854,18222492644819.71,3218821935895.227,742641051866.5771,-6982473980159.607,-19820332026051.44,5842379387951.177,-950666756488.5758,-897983297449.0978,1038.7911764705882
7854659476357.897,691147971581.0671,-20057134551994.54,-6928265675068.966,10271112927661.395,15126178280343.982,2671888831305.7437,616453597229.8354,-5796031817924.365,-16452517233471.416,4849658911025.761,-789132149730.0662,-745400499264.0464,1064.8617647058825
8514376786877.856,749197915989.3131,-21741744953732.207,-7510174723182.52,11133789718941.467,16396634762502.73,2896302307066.2456,668229885264.2345,-6282843809285.411,-17834373842821.73,5256984418586.616,-855411785102.4309,-808007159432.2698,1048.0
8240964318431.657,725139758619.4221,-21043576971561.246,-7269009008333.563,10776262926447.951,15870108254276.898,2803296648699.9336,646771785104.7122,-6081090031220.29,-17261678763691.514,5088172940650.153,-827942922862.6619,-782060519127.9862,1063.6808823529411
7133799991020.032,627718036044.0581,-18216396014265.25,-6292425783177.469,9328484043923.105,13737977007977.434,2426676886060.681,559878732962.0624,-5264102424783.982,-14942591555305.395,4404582639949.624,-716709687547.5771,-676991563073.1222,1064.8808823529412
9131091816528.898,803463981839.4188,-23316547100561.387,-8054153177771.527,11940234635059.285,17584278911063.688,3106087832972.6475,716631200977.6012,-6737923890299.181,-19126156645615.598,5637759242632.904,-917371262206.4479,-866532900963.5782,1009.895588235294
6060690841964.112,533292917992.3578,-15476175975458.459,-5345881211900.708,7925237359037.724,11671427738878.008,2061641530166.4893,475658384569.7668,-4472244387471.629,-12694836970950.143,3742018724291.969,-608897952861.2205,-575154434862.3323,979.154411764706
5649141444819.5205,497079819677.8467,-14425270894763.293,-4982870747508.326,7387076483851.354,10878882941066.229,1921646380045.6694,443358948334.5212,-4168557979171.836,-11832797872354.057,3487918071409.711,-567550910632.3304,-536098746664.6619,967.129411764706
7654544946154.66,673539482030.3807,-19546135582482.047,-6751753070122.515,10009434043114.84,14740806090244.273,2603816662176.696,600748111468.6018,-5648365323077.924,-16033353720667.277,4726103295328.199,-769027258226.9219,-726409817418.0452,927.6691176470588
8242014559435.673,725232172116.7449,-21046258802378.16,-7269935383208.474,10777636272777.168,15872130768484.379,2803653905478.0083,646854210796.3458,-6081865014801.289,-17263878624320.162,5088821383826.746,-828048436555.7975,-782160186924.6686,904.7220588235294
6913088766178.062,608297210478.5278,-17652802454720.973,-6097745681083.281,9039872015704.744,13312940395270.941,2351598401468.4297,542556724701.9265,-5101237318056.597,-14480285703261.783,4268310013743.242,-694535630424.2067,-656046279094.7548,910.6985294117648
6467650874770.785,569102157839.3405,-16515362090336.19,-5704843565944.854,8457396820510.789,12455134617525.408,2200075547420.462,507597684300.80634,-4772544389520.98,-13547263041281.477,3993285975602.9077,-649783790875.9963,-613774558639.8606,871.8838235294118
5578283741578.272,490844887958.2287,-14244333421482.357,-4920370125269.025,7294419633670.242,10742428130177.137,1897542996033.6362,437797874425.04095,-4116271421593.433,-11684377953130.705,3444168867729.5547,-560432020965.6061,-529374393838.5331,886.4823529411765
8859017815580.682,779523599976.5211,-22621797133181.71,-7814168094191.903,11584458110253.613,17060330090324.29,3013537488134.651,695278169715.9557,-6537157830230.346,-18556265290460.586,5469774194943.457,-890036806080.3073,-840713293853.0588,1042.785
6379094428313.121,561309926512.357,-16289230117492.63,-5626731669670.612,8341596539571.004,12284596177556.33,2169951631194.0474,500647493492.069,-4707197543775.416,-13361771136282.033,3938608832393.724,-640886959955.8359,-605370679536.429,1035.4083333333333
6891383253410.935,606387310399.5684,-17597376660528.816,-6078600171091.523,9011488969139.248,13271140782376.139,2344214915922.914,540853200353.1113,-5085220542242.607,-14434820973134.697,4254908408967.181,-692355003354.7726,-653986468279.0868,1071.3
6186888607170.855,544397331987.75165,-15798426141468.191,-5457194974004.684,8090259390548.991,11914454150986.457,2104569726969.933,485562692605.58124,-4565366943319.875,-12959173204497.162,3819936256087.312,-621576667488.1772,-587130510635.7468,1062.71
6234572047858.012,548593082892.7156,-15920187316547.037,-5499254507337.931,8152612361028.916,12006280900283.588,2120790013501.3953,489305015991.30707,-4600553053637.179,-13059051708717.502,3849377238225.351,-626367258875.3534,-591655605334.29,1047.26
7248485346869.881,637809429572.6661,-18509249048217.7,-6393584929597.183,9478451835816.71,13958833422903.707,2465688966974.3647,568879561793.4988,-5348729971867.343,-15182813718340.89,4475392265159.066,-728231669812.4696,-687875102886.4656,1101.5879310344828
9041960650140.03,795621078158.1072,-23088947897994.414,-7975534252927.505,11823682320891.2,17412633935074.451,3075768454179.539,709636053804.8657,-6672153361166.013,-18939460664134.12,5582727842420.639,-908416308446.1106,-858074354221.6637,1031.045
12163903690051.822,1070327405340.2529,-31060933495666.37,-10729269283069.078,15906078209356.23,23424742749853.74,4137747630889.8823,954654066655.2421,-8975866392142.611,-25478741229535.848,7510291871938.705,-1222067768241.182,-1154344078639.0068,993.19
10780655089716.174,948612440016.1171,-27528762154765.78,-9509163690008.49,14097278832139.637,20760939833552.047,3667213360562.163,846093229112.8745,-7955153461512.807,-22581362683900.83,6656240425252.574,-1083097222020.945,-1023074951238.596,953.7666666666668
5570755517792.568,490182422058.9686,-14225109981847.035,-4913729756034.153,7284575185907.897,10727930677009.271,1894982163486.6387,437207099799.8979,-4110716428946.4365,-11668609092947.723,3439520986899.4043,-559675534941.4413,-528659926090.8706,887.1816666666667
