Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Close
8713051299150.723,766679654657.6252,-22249066907355.77,-7685417109486.632,11393585373012.11,16779233907336.986,2963884644328.8613,683822411949.2184,-6429447855509.089,-18250520957784.992,5379651157788.961,-875371858243.3234,-826861137324.5911,12296396790475.838,1031.045
11721430887637.066,1031393295155.7457,-29931064447074.2,-10338982581652.268,15327480484476.342,22572646923178.523,3987233385087.18,919927676922.7216,-8649361278502.17,-24551929383512.016,7237098333399.983,-1177613967559.0325,-1112353787327.8376,16542008067653.674,993.19
10388499183934.475,914105819819.6166,-26527378976469.957,-9163259413408.555,13584477791435.867,20005742204321.496,3533815216837.313,815315836284.9537,-7665777687464.7295,-21759945556333.37,6414113766775.609,-1043698598410.731,-985859691048.3083,14660892576080.65,953.7666666666668
5368114337104.741,472351601007.6422,-13707658969515.064,-4734988471092.925,7019592292336.837,10337692668577.02,1826050503900.2798,421303303155.87305,-3961185467127.34,-11244153071492.918,3314405355534.91,-539316840175.4633,-509429451649.2561,7575815145860.714,887.1816666666667
10204666749649.006,897930024712.8054,-26057956687650.918,-9001108536579.654,13344090103386.107,19651725275871.613,3471281651501.112,800888187745.4856,-7530125860013.499,-21374886689781.645,6300611078912.799,-1025229584950.9537,-968414158386.075,14401456797977.336,900.9383333333334
10052352592110.94,884527611743.933,-25669017313662.34,-8866758633167.133,13144917273654.283,19358404901747.62,3419469528276.305,788934142699.5824,-7417731598997.749,-21055846669748.164,6206568418583.778,-1009927188488.3512,-953959712467.7246,14186501369300.736,926.3216666666668
6187437316729.111,544445546881.2716,-15799827495350.725,-5457678904472.837,8090976570509.689,11915510979279.627,2104756403466.4907,485605853553.80115,-4565772108981.182,-12960322356245.92,3820275433237.1006,-621631546049.2222,-587182495448.8981,8732094411403.375,996.205
10133843297961.941,891698082004.1147,-25877106824338.902,-8938638111922.537,13251477923570.965,19515336524880.145,3447189932212.993,795329846585.3777,-7477864695769.417,-21226538496390.758,6256883180849.182,-1018114018688.1826,-961693027133.5895,14301506766552.547,1051.8266666666666
11508729329356.79,1012677307955.7759,-29387923236184.95,-10151367463256.398,15049342490356.959,22163034596287.875,3914879468661.3125,903234158260.568,-8492406249375.904,-24106400566150.367,7105770677782.382,-1156244969147.7583,-1092168664659.4017,16241829408854.137,1073.8316666666667
11392819405828.943,1002478102991.3529,-29091944476980.465,-10049128254038.05,14897773181529.873,21939820774899.086,3875450924537.594,894137440572.7827,-8406875627803.58,-23863613976632.242,7034205539030.476,-1144599349027.4443,-1081168881508.8033,16078251457655.717,1036.246666666667
4344321206682.529,382265932783.5008,-11093368919332.299,-3831943517598.0103,5680833642141.973,8366114073372.055,1477790773758.6904,340953356104.09344,-3205718090900.7583,-9099696815690.545,2682290181317.0825,-436459841345.35266,-412272408519.54767,6130974574787.976,977.3433333333334
5250677806627.89,462018089098.52716,-13407780997033.383,-4631402614868.732,6866026778885.506,10111538337413.93,1786102589672.206,412086627669.3331,-3874527986991.0,-10998168271486.078,3241897320778.637,-527518265706.17596,-498284795454.122,7410081718499.46,910.6983333333334
6000388541020.472,527986771100.9676,-15322192106723.682,-5292691061894.056,7846383207757.049,11555300106069.438,2041128738885.8162,470925736694.55615,-4427746794964.195,-12568526589396.557,3704786721291.9062,-602839502269.8806,-569431776046.554,8468119276920.794,865.9449999999999
8507319733962.664,748576908480.412,-21723724480828.785,-7503949929726.858,11124561375575.21,16383044553145.285,2893901738870.7666,667676067576.2131,-6277636448793.451,-17819591772838.957,5252627418678.533,-854702700401.15,-807337395810.1959,12006055629540.0,829.9133333333334
9225637091003.197,811783169264.7809,-23557971768885.47,-8137547553125.768,12063866129641.846,17766350401186.53,3138248947509.8438,724051426125.678,-6807689990458.601,-19324192828872.3,5696134090493.142,-926869735305.8417,-875505107894.1859,13019789429735.13,844.3366666666667
8617699062487.188,758289420310.9678,-22005581767917.61,-7601310909250.659,11268898461456.69,16595608494884.701,2931449043292.033,676338913571.4194,-6359086450081.544,-18050794397479.34,5320778301500.692,-865792162125.3448,-817812303234.3911,12161829738882.373,831.6333333333333
8546652576988.831,752037880142.379,-21824162221021.004,-7538643772536.868,11175994765372.447,16458790126711.719,2907281440681.0664,670763018982.5264,-6306660575660.915,-17901979057482.477,5276912521440.005,-858654317920.4974,-811070038776.0432,12061564631290.723,808.4783333333332
8819977172988.043,776088272546.6885,-22522105645029.23,-7779731913931.742,11533406471881.182,16985147307464.875,3000257200500.837,692214235472.6888,-6508349558985.217,-18474489803164.47,5445669872117.18,-886114333079.2906,-837008290303.9741,12447297242600.338,856.995
13310022610700.676,1171176818167.657,-33987586421547.902,-11740212727368.844,17404795875317.385,25631891218836.31,4527618434844.15,1044604395721.433,-9821599039561.225,-27879423506151.395,8217933754100.209,-1337214583919.74,-1263109784759.461,18783926989999.215,840.6766666666666
9435850431153.7,830280293103.998,-24094758546129.89,-8322967939354.883,12338750787462.703,18171170562358.805,3209756397862.13,740549492585.103,-6962808489946.607,-19764509696579.81,5825924899864.527,-947989209252.1104,-895454188390.5194,13316455435198.033,829.555
9604089523101.547,845083994979.5621,-24524362601621.84,-8471364565589.631,12558747887040.799,18495158403544.79,3266985629341.5356,753753324132.3253,-7086953806807.998,-20116906366785.59,5929799862884.04,-964891646991.1383,-911419919525.6272,13553884833812.951,777.7616666666667
9115487799090.37,802090919696.6572,-23276701673072.207,-8040389480013.542,11919829944464.404,17554229311683.338,3100779876043.447,715406585065.1329,-6726409608058.022,-19093471997064.957,5628125084474.703,-915803517532.7341,-865052052305.4752,12864339636039.773,758.4449999999999
8151647881878.179,717280611360.8773,-20815504686333.773,-7190226743002.709,10659468643486.457,15698106490833.41,2772914240300.7705,639762037514.9652,-6015182618321.049,-17074594995346.701,5033026860852.92,-818969498530.0039,-773584467420.3243,11504109543683.477,809.33
10362806862817.844,911845152144.4984,-26461772619155.48,-9140597345326.062,13550881600679.334,19956264882382.035,3525075541813.9834,813299361392.0983,-7646818856911.267,-21706130085797.75,6398250392532.292,-1041117569668.7742,-983421579345.9216,14624633507646.889,850.6383333333332
10642456852203.895,936452172138.1355,-27175868063278.79,-9387264897305.102,13916564897809.51,20494803183232.113,3620202974307.8135,835246955341.0372,-7853175256932.436,-22291890268329.758,6570912960427.017,-1069213215983.9238,-1009960160835.5732,15019292564890.395,790.9683333333334
8207068632201.27,722157221384.7103,-20957023144042.613,-7239111057235.829,10731939453678.28,15804833298111.494,2791766478546.958,644111541148.6904,-6056077996393.348,-17190680258148.521,5067244816431.951,-824537598723.6704,-778843870273.2196,11582322345241.643,805.4283333333333
9368508627006.172,824354765057.1377,-23922798920255.332,-8263568572283.157,12250691647745.215,18041486442420.04,3186848990776.0625,735264306530.1611,-6913116216218.352,-19623454320292.016,5784346308198.934,-941223676421.6295,-889063531578.5002,13221418323999.91,787.2583333333333
7011309161788.106,616939823226.44,-17903611537816.03,-6184381768279.316,9168309484734.812,13502089190223.455,2385009652501.9185,550265320513.0216,-5173715155797.18,-14686019985493.688,4328953721127.01,-704403489970.0847,-665367307116.3226,9894792760126.703,735.4133333333333
7158154557958.115,629861059608.8854,-18278586141384.52,-6313907934671.797,9360331265814.342,13784877975770.64,2434961476830.3066,561790117170.514,-5282073836904.639,-14993605112588.436,4419619652759.805,-719156576351.7839,-679302811281.0876,10102030044757.81,711.9116666666666
9991084179976.398,879136498033.6997,-25512566299727.855,-8812716355760.488,13064799999359.791,19240416670405.55,3398628083025.186,784125608307.8844,-7372520931790.676,-20927512754317.28,6168739669611.009,-1003771838110.457,-948145420473.5211,14100035384254.662,722.88
7484215436926.545,658551842658.9292,-19111193474677.547,-6601512565153.728,9786703431331.64,14412792541618.266,2545876333837.8975,587380202644.8663,-5522677424340.555,-15676578372029.428,4620937614717.493,-751914850716.1007,-710245711924.591,10562187320215.41,729.5883333333334
7653641893927.456,673460023050.5127,-19543829596969.316,-6750956527260.584,10008253188263.264,14739067019984.299,2603509472888.341,600677233228.0331,-5647698937618.053,-16031462179686.434,4725545707387.831,-768936544840.1472,-726324125463.3523,10801292486654.965,726.1183333333333
5960404601793.38,524468499191.8373,-15220091794726.064,-5257422905531.477,7794098369895.315,11478300695575.145,2027527559292.2046,467787698070.2815,-4398242252259.273,-12484775479548.229,3680099666771.246,-598822439804.4469,-565637333091.5101,8411691485544.497,714.8433333333334
9474191305798.752,833654002535.0248,-24192663157588.598,-8356786825949.556,12388887146712.05,18245005772669.508,3222798655274.669,743558554417.0529,-6991100532291.332,-19844819225275.85,5849597396848.306,-951841264426.6565,-899092722493.4999,13370564271383.652,693.8349999999999
5133750972554.327,451729521909.51013,-13109204151783.9,-4528266416575.517,6713128235014.089,9886365283336.928,1746328016058.7625,402909804003.4781,-3788246209151.1665,-10753251275910.33,3169703413643.632,-515771289314.3849,-487188625750.22296,7245066651270.516,660.4783333333332
6736721694720.493,592778287252.806,-17202443309347.928,-5942179671030.899,8809246281041.053,12973300014553.873,2291604308287.807,528715010018.4162,-4971094344137.207,-14110863892085.361,4159416743959.9824,-676816553257.9115,-639309181247.1781,9507278016358.994,655.3783333333334
6698920030033.813,589452037180.8221,-17105915512597.195,-5908836406740.533,8759815080344.831,12900503141133.629,2278745464838.6606,525748243467.1305,-4943200127984.041,-14031683813729.186,4136077085276.252,-673018732323.0723,-635721833065.36,9453929996147.049,658.8783333333333
7432708255604.376,654019603343.138,-18979668204747.055,-6556080225998.344,9719350207628.762,14313602166267.143,2528355341440.839,583337807605.8269,-5484669812805.299,-15568690417039.857,4589135900233.234,-746740043047.0692,-705357706226.0876,10489497320531.703,662.4599999999999
7200571748560.529,633593429595.8091,-18386899869177.625,-6351322351642.962,9415797890634.533,13866563260486.553,2449390369347.9077,565119136347.2057,-5313373935440.838,-15082452932299.389,4445809107446.799,-723418067264.7156,-683328156438.8243,10161891870960.893,665.6566666666666
8816645179223.361,775795103209.1827,-22513597327739.73,-7776792932900.541,11529049508164.104,16978730714130.814,2999123769282.202,691952716459.5212,-6505890799965.253,-18467510667483.11,5443612526945.895,-885779613804.7545,-836692114816.3882,12442594842426.553,676.4566666666667
8018638682433.582,705576849872.9551,-20475861083041.375,-7072904880422.975,10485539690303.088,15441962758550.969,2727669008215.5474,629323118151.4219,-5917033752036.548,-16795991292161.807,4950903699103.476,-805606557514.7349,-760961999113.651,11316398588066.17,701.075
9602962681168.734,844984841793.7313,-24521485232919.42,-8470370632942.451,12557274380414.617,18492988416635.16,3266602320082.9624,753664894264.5603,-7086122316918.839,-20114546102776.617,5929104136615.055,-964778414693.0533,-911312984973.1018,13552294620022.277,739.2549999999999
6993730782651.707,615393059564.3104,-17858724574737.797,-6168876612138.758,9145323164346.58,13468237484427.578,2379030085598.2173,548885731892.61914,-5160743913540.579,-14649199966919.6,4318100428830.4746,-702637429270.1229,-663699127420.5066,9869985109155.982,722.3566666666667
10307232650098.865,906955046552.4126,-26319862038627.33,-9091577647526.34,13478210141477.777,19849242379365.45,3506171082492.749,808937773753.2606,-7605810137967.932,-21589723245077.258,6363937589161.146,-1035534165448.9055,-978147616020.9977,14546203849980.963,756.4316666666667
11301525671281.52,994444978125.2598,-28858822403442.164,-9968601823076.137,14778393291582.96,21764010764766.93,3844395857968.4956,886972413574.1467,-8339508915140.938,-23672388091407.043,6977838432872.845,-1135427550066.8206,-1072505172881.4386,15949411636981.334,781.765
8279301550446.074,728513149184.0518,-21141472301505.566,-7302824686428.411,10826394537863.703,15943936460710.89,2816337667711.468,649780561456.261,-6109379383289.47,-17341980689294.836,5111843178234.826,-831794611531.5139,-785698714384.7473,11684261889647.89,794.3016666666666
10003874969911.2,880261996271.3723,-25545227978417.42,-8823998584404.887,13081525871589.783,19265048623771.445,3402979072628.033,785129447965.0874,-7381959345099.112,-20954304610044.086,6176636959960.316,-1005056923065.4552,-949359267885.7786,14118086450015.23,796.0483333333334
7394835161606.187,650687070390.9818,-18882958016188.633,-6522673960779.736,9669825615412.768,14240667740177.578,2515472200113.6484,580365433276.3528,-5456722882418.407,-15489360736669.223,4565752128247.861,-742935049891.835,-701763582926.5957,10436048484845.104,802.5533333333333
10546076881681.984,927971444411.6957,-26929758759662.76,-9302252119370.004,13790533772366.451,20309198735917.125,3587417794530.7866,827682885449.23,-7782055716495.008,-22090010834572.484,6511405905606.591,-1059530042528.3594,-1000813719203.5299,14883275659569.2,800.4816666666667
5668355523008.171,498770498155.0846,-14474334493937.7,-4999818644976.447,7412201643339.509,10915884495164.984,1928182345750.943,444866902803.781,-4182736205476.8237,-11873043877118.88,3499781307998.144,-569481338266.5144,-537922132750.23096,7999533474915.317,788.68
8094100861128.767,712216920542.1971,-20668556359170.74,-7139466908013.517,10584217475700.49,15587284759686.643,2753338689668.7915,635245597714.193,-5972718090568.553,-16954055825904.697,4997495939437.992,-813187951788.954,-768123291371.6759,11422895591653.209,783.2466666666667
8643376374957.015,760548827992.088,-22071149773628.746,-7623959815451.439,11302475337004.197,16645056886145.584,2940183602640.9727,678354143580.775,-6378034014776.179,-18104578701958.363,5336632096865.816,-868371846673.3622,-820249071759.9288,12198067228919.293,788.4666666666667
10073710539902.336,886406981795.8851,-25723555429191.74,-8885597620659.316,13172846101304.732,19399535072566.48,3426734764540.8784,790610312783.8162,-7433491688979.089,-21100583537770.06,6219755113406.056,-1012073095008.0325,-955986613078.9248,14216642676853.781,808.6783333333333
9231990683582.93,812342263926.6755,-23574195783357.016,-8143151816654.249,12072174520897.229,17778585819928.33,3140410213655.004,724550030013.7386,-6812378254426.988,-19337501255467.477,5700056787257.51,-927508168680.1107,-876108094330.6115,13028755747173.57,827.2816666666665
10570682769126.188,930136615149.036,-26992590541300.83,-9323955981465.73,13822709791062.762,20356583616915.28,3595787864685.0146,829613946882.8608,-7800212453508.91,-22141550896998.418,6526597906386.324,-1062002299114.033,-1003148855236.0094,14918000561333.527,845.0100000000001
8397345752320.8545,738900106465.5814,-21442902150114.145,-7406946532037.403,10980754552227.518,16171261132726.225,2856492306110.3394,659044975684.6791,-6196485395453.784,-17589238323503.205,5184726567310.551,-843654111522.0116,-796901009542.1827,11850853207423.178,859.6850000000001
8815763587105.643,775717579994.3977,-22511345979422.92,-7776015361933.522,11527896945055.52,16977032859359.516,2998823862412.961,691883452536.6262,-6505240060955.905,-18465664189573.59,5443067918564.772,-885691234252.3618,-836608514892.9005,12441350217333.414,833.3616666666668
10814139725713.12,951558864486.968,-27614265820338.562,-9538699079005.475,14141065056761.098,20825422851673.87,3678603660878.2275,848721086671.0776,-7979861847576.269,-22651500106480.746,6676914351031.322,-1086461591329.1437,-1026252653100.16,15261582155712.797,838.9233333333334
13364655859780.717,1175984125777.1711,-34127094424682.207,-11788402465144.648,17476236896497.324,25737101785682.6,4546202824538.945,1048892160629.2686,-9861913475527.191,-27993859522145.848,8251665632654.905,-1342703374934.6067,-1268294456812.822,18861028894247.168,824.5133333333334
7536908356394.054,663188410566.2955,-19245746194822.53,-6647990738838.862,9855607122078.943,14514266122913.053,2563800649491.7817,591515618016.6869,-5561559913140.248,-15786949711343.4,4653471384714.298,-757208906482.3965,-715246222364.8788,10636550407015.56,823.2883333333333
9818928132697.057,863988097978.4863,-25072960622558.055,-8660864755087.672,12839680746192.031,18908886019264.633,3340066472653.7983,770614460260.6049,-7245485502662.243,-20566911686789.773,6062446571464.273,-986475613546.3296,-931807937478.2332,13857078782715.582,823.2099999999999
6982868717291.668,614437290197.8112,-17830987905631.848,-6159295645693.128,9131119462271.98,13447319751853.715,2375335176620.9897,548033239539.9606,-5152728659676.321,-14626448096667.275,4311393885138.1406,-701546178242.3547,-662668334980.1288,9854655828731.873,832.9566666666666
8695024874465.444,765093505584.8142,-22203035722556.168,-7669516787336.987,11370013361240.623,16744519287935.621,2957752653680.5166,682407603200.8268,-6416145841555.425,-18212762557767.05,5368521006764.496,-873560928389.7158,-825150487451.414,12270956477180.621,845.3383333333334
9101169703389.184,800831039742.4108,-23240140078688.844,-8027760104902.018,11901106951418.422,17526656205868.973,3095909355030.439,714282882866.4084,-6715844185684.128,-19063481136883.574,5619284776121.647,-914364971334.2483,-863693280791.7004,12844133186895.219,837.3966666666668
10403631243246.209,915437368904.2684,-26566019043804.06,-9176606812114.04,13604265401147.912,20034882792821.832,3538962613417.777,816503370037.6298,-7676943597396.328,-21791641576422.113,6423456397382.129,-1045219043376.4199,-987295769984.1344,14682247443654.55,855.9266666666666
8662624240764.467,762242508428.0187,-22120299616761.58,-7640937549724.047,11327644820125.465,16682123481764.465,2946731055665.442,679864715430.82,-6392237079014.388,-18144895589033.438,5348516047294.326,-870305751846.87,-822075698425.1919,12225230675873.713,875.4916666666667
10741439257686.4,945161785872.282,-27428623119309.586,-9474573075131.37,14045998552703.393,20685419536273.812,3653873453460.2085,843015427908.924,-7926215590013.017,-22499220532381.27,6632027444654.583,-1079157445418.8486,-1019353436213.6462,15158983170849.549,781.3866666666668
9779323342786.357,860503203159.3774,-24971827317919.67,-8625930905805.802,12787891707958.455,18832616002842.312,3326594184390.211,767506016117.3302,-7216260342845.383,-20483954034206.46,6037993276058.909,-982497114172.8357,-928049460219.5267,13801184905373.893,773.7366666666668
8788825554123.424,773347186173.0015,-22442559702038.625,-7752254484134.995,11492671283748.164,16925157294655.55,2989660526565.7153,689769461760.2069,-6485362664159.834,-18409239595138.902,5426436219142.197,-882984375698.2433,-834052064866.456,12403334785936.176,770.495
