Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Close
10607661903500.941,933390437804.0972,-27087018152816.58,-9356573680207.113,13871065191419.594,20427796606923.406,3608366927318.2666,832516232466.19,701.075
12703525551903.252,1117809876502.735,-32438875852123.773,-11205247103655.248,16611712577689.879,24463924174407.383,4321308685543.064,997004941051.9081,739.2549999999999
9251836193716.764,814088497081.1617,-23624871978776.973,-8160656692180.904,12098125376089.662,17816803491076.766,3147160984016.793,726107572389.7722,722.3566666666667
13635187148723.402,1199788751746.3462,-34817904747868.69,-12027026740294.166,17829996076309.445,26258079524422.49,4638228369160.972,1070124087738.68,756.4316666666667
14950513180911.598,1315527052328.2517,-38176633604843.63,-13187220671442.273,19549976713316.88,28791080007452.984,5085657690735.712,1173354213045.9614,781.765
10952486465895.895,963732309790.7489,-27967539029772.04,-9660728994296.41,14321973771327.701,21091845397228.188,3725664538374.1016,859578886188.5941,794.3016666666666
13233882658684.393,1164477165357.6582,-33793160207670.875,-11673052911760.654,17305232112742.008,25485263827033.2,4501718171465.491,1038628633154.5237,796.0483333333334
9782447411963.045,860778084789.8585,-24979805464054.34,-8628686591689.927,12791976899872.14,18838632672005.023,3327656935698.607,767751302993.7395,802.5533333333333
13951148368149.033,1227590832841.3728,-35624722272515.44,-12305722870338.273,18243161404259.523,26866544591112.027,4745707666608.135,1094921539661.5115,800.4816666666667
7498529528289.538,659811349707.0769,-19147744732061.543,-6614138367515.811,9805421107870.307,14440357857256.195,2550745484621.077,588503595671.1738,788.68
10707488982610.227,942174425643.4514,-27341930042544.17,-9444626966089.508,14001603631463.658,20620039544439.027,3642324723998.032,840350936500.1675,783.2466666666667
11434112188033.61,1006111529394.352,-29197386725140.594,-10085550838617.201,14951769470577.021,22019340539632.188,3889497310728.9805,897378182372.4661,788.4666666666667
13326266434115.889,1172606217111.6348,-34029065251013.35,-11754540777225.895,17426037421489.531,25663172676143.133,4533143997977.319,1045879135794.4833,808.6783333333333
12212775727412.805,1074627804908.5895,-31185729700555.08,-10772377297555.484,15969985783032.19,23518858370974.86,4154372220029.178,958489595920.3683,827.2816666666665
13983698897631.74,1230455084499.8708,-35707840906838.16,-12334434381135.738,18285726276084.82,26929228896624.773,4756780228650.261,1097476093821.3992,845.0100000000001
11108644266832.781,977472962713.5386,-28366293238347.105,-9798469249061.639,14526172876517.207,21392567671739.137,3778784131968.6714,871834554234.1349,859.6850000000001
11662159034310.113,1026177902143.0144,-29779711569443.387,-10286701419347.008,15249974228099.06,22458503472818.54,3967071082815.4336,915275775826.3369,833.3616666666668
14305762178670.572,1258794056635.7642,-36530239999123.42,-12618512797064.66,18706870706887.664,27549444906645.312,4866335229327.786,1122752463894.084,838.9233333333334
17679777881470.938,1555680771283.0479,-45145902408464.01,-15594590638756.75,23118888340691.58,34046985396236.28,6014061041694.7295,1387553904575.1292,824.5133333333334
9970392582651.615,877315803369.3092,-25459729113684.027,-8794465106614.089,13037742732288.936,19200569311918.793,3391589464850.5635,782501610941.4152,823.2883333333333
12989220990166.111,1142948821485.3909,-33168409219701.902,-11457247140363.154,16985301083944.17,25014104988120.156,4418492624533.334,1019427109279.9133,823.2099999999999
