Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Close
10518581238360.791,925552104214.7449,-26859547518555.508,-9277999419252.305,13754579509186.098,20256248621037.633,3578064685753.655,825524869560.9753,-7761766161776.629,-22032418098985.184,1081.4485294117646
9056691589751.217,796917344879.8756,-23126563705032.086,-7988527859694.841,11842945479598.504,17441002068351.371,3080779401916.399,710792094198.5825,-6683023242635.702,-18970316565563.38,1074.4147058823528
6176305259209.643,543466087391.8338,-15771400999234.346,-5447859829097.811,8076420143308.151,11894073038589.799,2100969615002.0625,484732051117.0095,-4557557299814.193,-12937005016513.133,1036.125
7009096376114.285,616745119895.8582,-17897961281904.43,-6182429989549.892,9165415984880.06,13497828003476.414,2384256947690.7524,550091671136.0509,-5172082350701.062,-14681385183927.836,1036.654411764706
12838673297663.094,1129701861479.2034,-32783979979211.484,-11324455311706.275,16788438196901.04,24724186019065.17,4367281351590.454,1007611609046.6276,-9473785397402.158,-26892126490854.527,999.6691176470588
10788910854539.44,949338938107.4865,-27549843316089.69,-9516445802035.928,14108074728387.217,20776838297673.234,3670021669077.77,846741077008.0459,-7961245238572.147,-22598655493409.258,1038.7911764705882
8955689707465.336,788029932303.8501,-22868651914090.984,-7899438261271.525,11710870548537.58,17246496750916.543,3046421984051.6646,702865242275.4204,-6608493041890.04,-18758755830624.168,1064.8617647058825
9707883172432.691,854217052346.5032,-24789403295018.656,-8562916657573.43,12694473425758.498,18695040010531.85,3302292714174.8706,761899293495.0968,-7163544111083.479,-20334314777616.21,1048.0
9396144994994.639,826786532540.1858,-23993369319156.277,-8287945436126.182,12286830163142.87,18094707425189.5,3196249948110.435,737433295023.8939,-6933509411412.722,-19681341922316.734,1063.6808823529411
8133783437333.492,715708678588.9299,-20769887069339.13,-7174469242239.146,10636108260310.553,15663703775072.848,2766837350142.4893,638359972358.9862,-6002000219943.479,-17037175678653.117,1064.8808823529412
10411046493530.098,916089887045.6053,-26584954002226.652,-9183147523279.227,13613962100812.166,20049162682483.84,3541485015354.8486,817085284213.9423,-7682415235907.504,-21807173783927.473,1009.895588235294
6910250757130.886,608047479474.2961,-17645555521727.414,-6095242383308.386,9036160874852.404,13307475083689.098,2350633008059.614,542334000828.80304,-5099143145632.694,-14474341139917.332,979.154411764706
6441012248292.257,566758194709.3917,-16447339374606.959,-5681346772754.366,8422563070215.064,12403834981933.941,2191013978258.7913,505506977388.81934,-4752887365952.65,-13491465344223.463,967.129411764706
8727524037922.349,767953165245.0421,-22286023446801.863,-7698182926891.349,11412510715110.244,16807104850248.22,2968807769677.5317,684958233371.2174,-6440127333355.6,-18280835894226.664,927.6691176470588
9397342453977.852,826891900138.7808,-23996427076747.996,-8289001665992.986,12288396018877.598,18097013446185.78,3196657283509.246,737527274771.8911,-6934393028646.633,-19683850149344.16,904.7220588235294
7882133922725.147,693565530543.9752,-20127291543002.598,-6952499774075.5625,10307039918347.957,15179087474497.531,2681234707056.719,618609844227.4153,-5816305427646.764,-16510065907273.473,910.6985294117648
7374256585534.593,648876294739.3068,-18830409992015.254,-6504522437925.254,9642916015057.986,14201038407204.018,2508472072530.3438,578750405477.01,-5441537828126.588,-15446256397022.947,871.8838235294118
6360222036377.617,559649278785.512,-16241038914092.504,-5610085099223.71,8316918006671.468,12248252559921.652,2163531892146.5432,499166377580.07,-4693271517938.725,-13322240599729.795,886.4823529411765
10100834403840.537,888793651978.0403,-25792817162831.92,-8909522428591.373,13208314450401.564,19451769113067.11,3435961386586.1143,792739082718.0404,-7453506708023.041,-21157397665803.277,1042.785
7273286701549.454,639991784073.5924,-18572579873749.84,-6415461173385.471,9510883380510.865,14006594668916.533,2474125523541.241,570825968717.1377,-5367030960499.752,-15234763085387.758,1035.4083333333333
7857385830478.892,691387909409.5507,-20064096414548.098,-6930670534081.969,10274678266164.533,15131428583096.22,2672816238286.1475,616667527628.8381,-5798043493474.333,-16458228139273.807,1071.3
7054138347722.044,620708459421.9711,-18012977241745.83,-6222159599334.668,9224314939781.488,13584567826425.172,2399578683098.72,553626649453.8508,-5205319195333.289,-14775730817370.91,1062.71
7108505834977.712,625492351493.6484,-18151806341301.92,-6270114845632.375,9295408264404.629,13689266429340.498,2418072655189.9595,557893554611.0292,-5245437533621.906,-14889609833378.604,1047.26
8264544861692.239,727214637495.2533,-21103790901817.438,-7289808415010.91,10807097851184.023,15915518831847.291,2811317966082.2515,648622496198.1138,-6098490469414.348,-17311071085510.348,1101.5879310344828
